src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX02,14,10,RMUX19,14,10,silicon
RMUX19,14,10,RMUX73,14,11,silicon
RMUX73,14,11,RMUX22,14,10,silicon
RMUX22,14,10,IMUX00,14,10,silicon
OMUX02,16,10,RMUX21,16,10,silicon
RMUX21,16,10,RMUX86,16,6,silicon
RMUX86,16,6,RMUX50,14,6,silicon
RMUX50,14,6,RMUX03,14,4,silicon
OMUX02,16,10,RMUX19,16,10,silicon
RMUX19,16,10,RMUX73,16,11,silicon
RMUX73,16,11,RMUX22,16,10,silicon
RMUX22,16,10,IMUX00,16,10,silicon
OMUX02,18,10,RMUX15,18,10,silicon
RMUX15,18,10,RMUX63,19,10,silicon
RMUX63,19,10,RMUX58,18,10,silicon
RMUX58,18,10,IMUX00,18,10,silicon
OMUX02,18,10,RMUX21,18,10,silicon
RMUX21,18,10,RMUX86,18,6,silicon
RMUX86,18,6,RMUX50,14,6,silicon
OMUX02,20,10,RMUX19,20,10,silicon
RMUX19,20,10,RMUX73,20,11,silicon
RMUX73,20,11,RMUX22,20,10,silicon
RMUX22,20,10,IMUX00,20,10,silicon
OMUX02,20,10,RMUX21,20,10,silicon
RMUX21,20,10,RMUX93,20,6,silicon
RMUX93,20,6,RMUX86,16,6,silicon
OMUX02,14,11,RMUX21,14,11,silicon
RMUX21,14,11,RMUX87,14,7,silicon
RMUX87,14,7,RMUX63,14,4,silicon
OMUX02,14,11,RMUX19,14,11,silicon
RMUX19,14,11,RMUX73,14,12,silicon
RMUX73,14,12,RMUX22,14,11,silicon
RMUX22,14,11,IMUX00,14,11,silicon
OMUX02,16,11,RMUX21,16,11,silicon
RMUX21,16,11,RMUX86,16,7,silicon
RMUX86,16,7,RMUX50,14,7,silicon
RMUX50,14,7,RMUX03,14,4,silicon
OMUX02,16,11,RMUX08,16,11,silicon
RMUX08,16,11,RMUX33,17,11,silicon
RMUX33,17,11,RMUX28,16,11,silicon
RMUX28,16,11,IMUX00,16,11,silicon
OMUX02,18,11,RMUX19,18,11,silicon
RMUX19,18,11,RMUX73,18,12,silicon
RMUX73,18,12,RMUX22,18,11,silicon
RMUX22,18,11,IMUX00,18,11,silicon
OMUX02,18,11,RMUX21,18,11,silicon
RMUX21,18,11,RMUX86,18,7,silicon
RMUX86,18,7,RMUX50,14,7,silicon
OMUX02,20,11,RMUX19,20,11,silicon
RMUX19,20,11,RMUX73,20,12,silicon
RMUX73,20,12,RMUX22,20,11,silicon
RMUX22,20,11,IMUX00,20,11,silicon
OMUX02,20,11,RMUX21,20,11,silicon
RMUX21,20,11,RMUX86,20,7,silicon
RMUX86,20,7,RMUX56,16,7,silicon
RMUX56,16,7,RMUX27,14,7,silicon
RMUX27,14,7,RMUX20,14,3,silicon
OMUX02,14,12,RMUX21,14,12,silicon
RMUX21,14,12,RMUX87,14,8,silicon
RMUX87,14,8,RMUX63,14,4,silicon
OMUX02,14,12,RMUX15,14,12,silicon
RMUX15,14,12,RMUX63,15,12,silicon
RMUX63,15,12,RMUX58,14,12,silicon
RMUX58,14,12,IMUX00,14,12,silicon
OMUX02,18,12,RMUX08,18,12,silicon
RMUX08,18,12,RMUX33,19,12,silicon
RMUX33,19,12,RMUX28,18,12,silicon
RMUX28,18,12,IMUX00,18,12,silicon
OMUX02,18,12,RMUX21,18,12,silicon
RMUX21,18,12,RMUX86,18,8,silicon
RMUX86,18,8,RMUX50,14,8,silicon
RMUX50,14,8,RMUX03,14,4,silicon
OMUX05,2,1,RMUX15,2,1,silicon
OMUX05,2,1,RMUX08,2,1,silicon
RMUX28,2,1,IMUX04,2,1,silicon
OMUX05,4,1,RMUX15,4,1,silicon
OMUX05,4,1,RMUX08,4,1,silicon
RMUX28,4,1,IMUX04,4,1,silicon
OMUX05,10,1,RMUX02,10,1,silicon
OMUX05,10,1,RMUX19,10,1,silicon
RMUX19,10,1,RMUX73,10,2,silicon
RMUX73,10,2,RMUX16,10,1,silicon
RMUX16,10,1,IMUX04,10,1,silicon
OMUX05,14,1,RMUX02,14,1,silicon
OMUX05,14,1,RMUX19,14,1,silicon
RMUX19,14,1,RMUX73,14,2,silicon
RMUX73,14,2,RMUX22,14,1,silicon
RMUX22,14,1,IMUX04,14,1,silicon
OMUX05,20,1,RMUX19,20,1,silicon
RMUX73,20,2,RMUX16,20,1,silicon
RMUX16,20,1,IMUX04,20,1,silicon
OMUX05,20,1,RMUX02,20,1,silicon
OMUX05,2,2,RMUX08,2,2,silicon
RMUX28,2,2,IMUX04,2,2,silicon
OMUX05,2,2,RMUX02,2,2,silicon
OMUX05,6,2,RMUX02,6,2,silicon
RMUX02,6,2,RMUX19,6,3,silicon
RMUX19,6,3,RMUX88,6,2,silicon
RMUX88,6,2,IMUX04,6,2,silicon
OMUX05,6,2,RMUX21,6,2,silicon
OMUX05,8,2,RMUX15,8,2,silicon
RMUX15,8,2,RMUX63,9,2,silicon
RMUX63,9,2,RMUX52,8,2,silicon
RMUX52,8,2,IMUX04,8,2,silicon
OMUX05,8,2,RMUX02,8,2,silicon
OMUX05,10,2,RMUX08,10,2,silicon
RMUX08,10,2,RMUX33,11,2,silicon
RMUX33,11,2,RMUX28,10,2,silicon
RMUX28,10,2,IMUX04,10,2,silicon
OMUX05,10,2,RMUX02,10,2,silicon
OMUX05,12,2,RMUX19,12,2,silicon
RMUX22,12,2,IMUX04,12,2,silicon
OMUX05,12,2,RMUX02,12,2,silicon
OMUX05,14,2,RMUX08,14,2,silicon
RMUX08,14,2,RMUX33,15,2,silicon
RMUX33,15,2,RMUX28,14,2,silicon
RMUX28,14,2,IMUX04,14,2,silicon
OMUX05,14,2,RMUX02,14,2,silicon
OMUX05,6,3,RMUX21,6,3,silicon
OMUX05,6,3,RMUX08,6,3,silicon
RMUX08,6,3,RMUX33,7,3,silicon
RMUX33,7,3,RMUX28,6,3,silicon
RMUX28,6,3,IMUX04,6,3,silicon
OMUX05,20,3,RMUX15,20,3,silicon
RMUX15,20,3,RMUX69,20,3,silicon
RMUX69,20,3,RMUX87,20,4,silicon
RMUX87,20,4,RMUX58,20,3,silicon
RMUX58,20,3,IMUX04,20,3,silicon
OMUX05,20,3,RMUX02,20,3,silicon
RMUX02,20,3,RMUX03,20,5,silicon
OMUX05,2,4,RMUX15,2,4,silicon
OMUX05,2,4,RMUX08,2,4,silicon
RMUX08,2,4,RMUX33,3,4,silicon
RMUX33,3,4,RMUX28,2,4,silicon
RMUX28,2,4,IMUX04,2,4,silicon
OMUX05,4,4,RMUX15,4,4,silicon
OMUX05,4,4,RMUX08,4,4,silicon
RMUX08,4,4,RMUX33,5,4,silicon
RMUX33,5,4,RMUX34,4,4,silicon
RMUX34,4,4,IMUX04,4,4,silicon
OMUX05,10,4,RMUX04,10,4,silicon
RMUX04,10,4,IMUX04,10,4,silicon
OMUX05,10,4,RMUX19,10,4,silicon
RMUX28,14,4,IMUX04,14,4,silicon
OMUX05,14,4,RMUX08,14,4,silicon
OMUX05,16,6,RMUX21,16,6,silicon
OMUX05,16,6,RMUX04,16,6,silicon
RMUX04,16,6,IMUX04,16,6,silicon
OMUX05,18,6,RMUX21,18,6,silicon
OMUX05,18,6,RMUX08,18,6,silicon
RMUX08,18,6,RMUX33,19,6,silicon
RMUX33,19,6,RMUX28,18,6,silicon
RMUX28,18,6,IMUX04,18,6,silicon
OMUX05,16,7,RMUX21,16,7,silicon
OMUX05,16,7,RMUX04,16,7,silicon
RMUX04,16,7,IMUX04,16,7,silicon
OMUX05,18,7,RMUX15,18,7,silicon
RMUX58,18,7,IMUX04,18,7,silicon
OMUX05,18,7,RMUX21,18,7,silicon
OMUX05,16,8,RMUX21,16,8,silicon
OMUX05,16,8,RMUX08,16,8,silicon
RMUX08,16,8,RMUX33,17,8,silicon
RMUX33,17,8,RMUX28,16,8,silicon
RMUX28,16,8,IMUX04,16,8,silicon
OMUX05,18,8,RMUX08,18,8,silicon
RMUX08,18,8,RMUX33,19,8,silicon
RMUX33,19,8,RMUX28,18,8,silicon
RMUX28,18,8,IMUX04,18,8,silicon
OMUX05,18,8,RMUX21,18,8,silicon
RMUX21,18,8,RMUX86,18,5,silicon
RMUX21,20,8,RMUX93,20,7,silicon
RMUX93,20,7,RMUX92,19,7,silicon
RMUX92,19,7,RMUX81,19,8,silicon
RMUX81,19,8,RMUX28,20,8,silicon
RMUX28,20,8,IMUX04,20,8,silicon
OMUX05,20,8,RMUX21,20,8,silicon
OMUX05,14,9,RMUX21,14,9,silicon
OMUX05,14,9,RMUX15,14,9,silicon
RMUX15,14,9,RMUX63,15,9,silicon
RMUX63,15,9,RMUX58,14,9,silicon
RMUX58,14,9,IMUX04,14,9,silicon
OMUX05,16,9,RMUX21,16,9,silicon
RMUX21,16,9,RMUX86,16,5,silicon
OMUX05,16,9,RMUX08,16,9,silicon
RMUX08,16,9,RMUX33,17,9,silicon
RMUX33,17,9,RMUX28,16,9,silicon
RMUX28,16,9,IMUX04,16,9,silicon
OMUX05,18,9,RMUX15,18,9,silicon
RMUX15,18,9,RMUX63,19,9,silicon
RMUX63,19,9,RMUX58,18,9,silicon
RMUX58,18,9,IMUX04,18,9,silicon
OMUX05,18,9,RMUX21,18,9,silicon
OMUX05,14,10,RMUX21,14,10,silicon
OMUX05,14,10,RMUX08,14,10,silicon
RMUX08,14,10,RMUX33,15,10,silicon
RMUX33,15,10,RMUX28,14,10,silicon
RMUX28,14,10,IMUX04,14,10,silicon
OMUX05,18,10,RMUX08,18,10,silicon
RMUX08,18,10,RMUX33,19,10,silicon
RMUX33,19,10,RMUX28,18,10,silicon
RMUX28,18,10,IMUX04,18,10,silicon
OMUX05,18,10,RMUX21,18,10,silicon
OMUX05,14,11,RMUX21,14,11,silicon
OMUX05,14,11,RMUX08,14,11,silicon
RMUX08,14,11,RMUX33,15,11,silicon
RMUX33,15,11,RMUX28,14,11,silicon
RMUX28,14,11,IMUX04,14,11,silicon
OMUX05,16,11,RMUX21,16,11,silicon
OMUX05,16,11,RMUX08,16,11,silicon
RMUX33,17,11,RMUX34,16,11,silicon
RMUX34,16,11,IMUX04,16,11,silicon
OMUX05,18,11,RMUX19,18,11,silicon
RMUX22,18,11,IMUX04,18,11,silicon
OMUX05,18,11,RMUX21,18,11,silicon
OMUX05,20,11,RMUX04,20,11,silicon
RMUX04,20,11,IMUX04,20,11,silicon
OMUX05,20,11,RMUX21,20,11,silicon
RMUX21,20,11,RMUX93,20,7,silicon
RMUX93,20,7,RMUX86,16,7,silicon
OMUX05,14,12,RMUX21,14,12,silicon
OMUX05,14,12,RMUX15,14,12,silicon
RMUX63,15,12,RMUX52,14,12,silicon
RMUX52,14,12,IMUX04,14,12,silicon
OMUX05,18,12,RMUX08,18,12,silicon
RMUX28,18,12,IMUX04,18,12,silicon
OMUX05,18,12,RMUX21,18,12,silicon
OMUX08,2,1,RMUX09,2,1,silicon
RMUX09,2,1,RMUX39,2,3,silicon
RMUX39,2,3,RMUX68,2,4,silicon
OMUX08,2,1,RMUX20,2,1,silicon
RMUX20,2,1,RMUX81,1,1,silicon
RMUX81,1,1,RMUX34,2,1,silicon
RMUX34,2,1,IMUX08,2,1,silicon
OMUX08,4,1,RMUX09,4,1,silicon
RMUX09,4,1,RMUX39,4,3,silicon
RMUX39,4,3,RMUX68,4,4,silicon
RMUX68,4,4,RMUX74,6,4,silicon
OMUX08,4,1,RMUX20,4,1,silicon
RMUX20,4,1,RMUX81,3,1,silicon
RMUX81,3,1,RMUX34,4,1,silicon
RMUX34,4,1,IMUX08,4,1,silicon
RMUX20,8,1,RMUX75,7,1,silicon
RMUX75,7,1,RMUX20,7,4,silicon
OMUX08,8,1,RMUX20,8,1,silicon
RMUX20,8,1,RMUX81,7,1,silicon
RMUX81,7,1,RMUX34,8,1,silicon
RMUX34,8,1,IMUX08,8,1,silicon
RMUX20,10,1,RMUX75,7,1,silicon
OMUX08,10,1,RMUX20,10,1,silicon
RMUX20,10,1,RMUX81,9,1,silicon
RMUX81,9,1,RMUX28,10,1,silicon
RMUX28,10,1,IMUX08,10,1,silicon
RMUX20,12,1,RMUX75,8,1,silicon
RMUX75,8,1,RMUX20,8,4,silicon
OMUX08,12,1,RMUX20,12,1,silicon
RMUX20,12,1,RMUX81,11,1,silicon
RMUX81,11,1,RMUX34,12,1,silicon
RMUX34,12,1,IMUX08,12,1,silicon
RMUX20,14,1,RMUX75,10,1,silicon
RMUX75,10,1,RMUX20,10,4,silicon
OMUX08,14,1,RMUX20,14,1,silicon
RMUX20,14,1,RMUX91,13,1,silicon
RMUX91,13,1,RMUX94,14,1,silicon
RMUX94,14,1,IMUX08,14,1,silicon
OMUX08,16,1,RMUX03,16,1,silicon
RMUX03,16,1,RMUX20,12,1,silicon
OMUX08,16,1,RMUX20,16,1,silicon
RMUX20,16,1,RMUX81,15,1,silicon
RMUX81,15,1,RMUX34,16,1,silicon
RMUX34,16,1,IMUX08,16,1,silicon
OMUX08,18,1,RMUX20,18,1,silicon
RMUX20,18,1,RMUX81,17,1,silicon
RMUX81,17,1,RMUX28,18,1,silicon
RMUX28,18,1,IMUX08,18,1,silicon
OMUX08,18,1,RMUX03,18,1,silicon
RMUX03,18,1,RMUX20,14,1,silicon
OMUX08,20,1,RMUX20,20,1,silicon
RMUX20,20,1,RMUX81,19,1,silicon
RMUX81,19,1,RMUX34,20,1,silicon
RMUX34,20,1,IMUX08,20,1,silicon
OMUX08,20,1,RMUX03,20,1,silicon
RMUX03,20,1,RMUX20,16,1,silicon
RMUX20,16,1,RMUX75,12,1,silicon
RMUX75,12,1,RMUX20,12,3,silicon
RMUX20,12,3,RMUX75,8,3,silicon
RMUX75,8,3,RMUX20,8,4,silicon
OMUX08,10,2,RMUX20,10,2,silicon
RMUX20,10,2,RMUX81,9,2,silicon
RMUX81,9,2,RMUX28,10,2,silicon
RMUX28,10,2,IMUX08,10,2,silicon
OMUX08,10,2,RMUX03,10,2,silicon
RMUX03,10,2,RMUX21,6,2,silicon
RMUX20,12,2,RMUX81,11,2,silicon
RMUX81,11,2,RMUX34,12,2,silicon
RMUX34,12,2,IMUX08,12,2,silicon
OMUX08,12,2,RMUX20,12,2,silicon
RMUX20,12,2,RMUX75,8,2,silicon
RMUX75,8,2,RMUX20,8,4,silicon
OMUX08,16,2,RMUX03,16,2,silicon
RMUX03,16,2,RMUX20,12,2,silicon
