x,y,feature,byte,mask
2,4,CFG_BYPASSEN[13],72767,1
2,4,CFG_BYPASSEN[14],73231,1
2,4,CFG_BYPASSEN[15],73695,1
2,4,CFG_BYPASSEN[1],66735,1
2,4,CFG_BYPASSEN[2],67199,1
2,4,CFG_BYPASSEN[3],67663,1
2,4,CFG_BYPASSEN[4],68127,1
2,4,CFG_BYPASSEN[5],68591,1
2,4,CFG_BYPASSEN[6],69055,1
2,4,CFG_BYPASSEN[7],69519,1
2,4,CFG_BYPASSEN[8],70447,1
2,4,CFG_BYPASSEN[9],70911,1
2,4,CFG_CARRY_CRL[0],66156,128
2,4,CFG_CARRY_CRL[10],71260,128
2,4,CFG_CARRY_CRL[11],71724,128
2,4,CFG_CARRY_CRL[12],72188,128
2,4,CFG_CARRY_CRL[13],72652,128
2,4,CFG_CARRY_CRL[14],73116,128
2,4,CFG_CARRY_CRL[15],73580,128
2,4,CFG_CARRY_CRL[1],66620,128
2,4,CFG_CARRY_CRL[2],67084,128
2,4,CFG_CARRY_CRL[3],67548,128
2,4,CFG_CARRY_CRL[4],68012,128
2,4,CFG_CARRY_CRL[5],68476,128
2,4,CFG_CARRY_CRL[6],68940,128
2,4,CFG_CARRY_CRL[7],69404,128
2,4,CFG_CARRY_CRL[8],70332,128
2,4,CFG_CARRY_CRL[9],70796,128
2,4,CFG_LUTCMUX[0],66272,128
2,4,CFG_LUTCMUX[10],68592,128
2,4,CFG_LUTCMUX[11],68244,128
2,4,CFG_LUTCMUX[12],69056,128
2,4,CFG_LUTCMUX[13],68708,128
2,4,CFG_LUTCMUX[14],69520,128
2,4,CFG_LUTCMUX[15],69172,128
2,4,CFG_LUTCMUX[16],70448,128
2,4,CFG_LUTCMUX[17],70100,128
2,4,CFG_LUTCMUX[18],70912,128
2,4,CFG_LUTCMUX[19],70564,128
2,4,CFG_LUTCMUX[1],65924,128
2,4,CFG_LUTCMUX[20],71376,128
2,4,CFG_LUTCMUX[21],71028,128
2,4,CFG_LUTCMUX[22],71840,128
2,4,CFG_LUTCMUX[23],71492,128
2,4,CFG_LUTCMUX[24],72304,128
2,4,CFG_LUTCMUX[25],71956,128
2,4,CFG_LUTCMUX[26],72768,128
2,4,CFG_LUTCMUX[27],72420,128
2,4,CFG_LUTCMUX[28],73232,128
2,4,CFG_LUTCMUX[29],72884,128
2,4,CFG_LUTCMUX[2],66736,128
2,4,CFG_LUTCMUX[30],73696,128
2,4,CFG_LUTCMUX[31],73348,128
2,4,CFG_LUTCMUX[3],66388,128
2,4,CFG_LUTCMUX[4],67200,128
2,4,CFG_LUTCMUX[5],66852,128
2,4,CFG_LUTCMUX[6],67664,128
2,4,CFG_LUTCMUX[7],67316,128
2,4,CFG_LUTCMUX[8],68128,128
2,4,CFG_LUTCMUX[9],67780,128
3,1,CFG_BYPASSEN[0],89931,16
3,1,CFG_BYPASSEN[10],95035,16
3,1,CFG_BYPASSEN[11],95499,16
3,1,CFG_BYPASSEN[12],95963,16
3,1,CFG_BYPASSEN[13],96427,16
3,1,CFG_BYPASSEN[14],96891,16
3,1,CFG_BYPASSEN[15],97355,16
3,1,CFG_BYPASSEN[1],90395,16
3,1,CFG_BYPASSEN[2],90859,16
3,1,CFG_BYPASSEN[3],91323,16
3,1,CFG_BYPASSEN[4],91787,16
3,1,CFG_BYPASSEN[5],92251,16
3,1,CFG_BYPASSEN[6],92715,16
3,1,CFG_BYPASSEN[7],93179,16
3,1,CFG_BYPASSEN[8],94107,16
3,1,CFG_BYPASSEN[9],94571,16
3,1,CFG_CARRY_CRL[0],89815,8
3,1,CFG_CARRY_CRL[10],94919,8
3,1,CFG_CARRY_CRL[11],95383,8
3,1,CFG_CARRY_CRL[12],95847,8
3,1,CFG_CARRY_CRL[13],96311,8
3,1,CFG_CARRY_CRL[14],96775,8
3,1,CFG_CARRY_CRL[15],97239,8
3,1,CFG_CARRY_CRL[1],90279,8
3,1,CFG_CARRY_CRL[2],90743,8
3,1,CFG_CARRY_CRL[3],91207,8
3,1,CFG_CARRY_CRL[4],91671,8
3,1,CFG_CARRY_CRL[5],92135,8
3,1,CFG_CARRY_CRL[6],92599,8
3,1,CFG_CARRY_CRL[7],93063,8
3,1,CFG_CARRY_CRL[8],93991,8
3,1,CFG_CARRY_CRL[9],94455,8
3,1,CFG_LUTCMUX[0],89931,8
3,1,CFG_LUTCMUX[10],92251,8
3,1,CFG_LUTCMUX[11],91903,8
3,1,CFG_LUTCMUX[12],92715,8
3,1,CFG_LUTCMUX[13],92367,8
3,1,CFG_LUTCMUX[14],93179,8
3,1,CFG_LUTCMUX[15],92831,8
3,1,CFG_LUTCMUX[16],94107,8
3,1,CFG_LUTCMUX[17],93759,8
3,1,CFG_LUTCMUX[18],94571,8
3,1,CFG_LUTCMUX[19],94223,8
3,1,CFG_LUTCMUX[1],89583,8
3,1,CFG_LUTCMUX[20],95035,8
3,1,CFG_LUTCMUX[21],94687,8
3,1,CFG_LUTCMUX[22],95499,8
3,1,CFG_LUTCMUX[23],95151,8
3,1,CFG_LUTCMUX[24],95963,8
3,1,CFG_LUTCMUX[25],95615,8
3,1,CFG_LUTCMUX[26],96427,8
3,1,CFG_LUTCMUX[27],96079,8
3,1,CFG_LUTCMUX[28],96891,8
3,1,CFG_LUTCMUX[29],96543,8
3,1,CFG_LUTCMUX[2],90395,8
3,1,CFG_LUTCMUX[30],97355,8
3,1,CFG_LUTCMUX[31],97007,8
3,1,CFG_LUTCMUX[3],90047,8
3,1,CFG_LUTCMUX[4],90859,8
3,1,CFG_LUTCMUX[5],90511,8
3,1,CFG_LUTCMUX[6],91323,8
3,1,CFG_LUTCMUX[7],90975,8
3,1,CFG_LUTCMUX[8],91787,8
3,1,CFG_LUTCMUX[9],91439,8
3,2,CFG_BYPASSEN[0],82043,16
3,2,CFG_BYPASSEN[10],87147,16
3,2,CFG_BYPASSEN[11],87611,16
