src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X15Y4_RMUX20,X11Y4_RMUX85,fabric,11,4,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,11;18,user_7101;user_7121;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX85,X11Y5_BBMUXS06,mcu,11,5,BBMUXS6,0;1;2;3;4;5;6;7;8,2;5,user_7101;user_7121;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y5_BufMUX00,X11Y5_InputMUX01,mcu,11,5,InputMUX1,0,,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y5_InputMUX01,X11Y4_RMUX08,fabric,11,4,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,23;29,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX08,X15Y4_RMUX32,fabric,15,4,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,25;28,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX32,X15Y5_RMUX33,fabric,15,5,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,36;38,user_7101;user_7111,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y5_RMUX33,X16Y5_RMUX39,fabric,16,5,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,35;38,user_7101;user_7111,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX39,X16Y9_RMUX68,fabric,16,9,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,22;29,user_7101;user_7111;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X16Y9_RMUX68,X20Y9_RMUX85,fabric,20,9,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,user_7101;user_7111,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y5_BufMUX08,X11Y5_InputMUX08,mcu,11,5,InputMUX8,0,,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y5_InputMUX08,X11Y4_RMUX68,fabric,11,4,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,23;29,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX68,X12Y4_RMUX81,fabric,12,4,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,32;38,user_7101;user_7111;user_7121;structural_7107;structural_7117;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX81,X16Y4_RMUX45,fabric,16,4,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,35;38,user_7101;user_7111;structural_7117;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X16Y4_RMUX45,X20Y4_RMUX92,fabric,20,4,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,25;28,user_7101;user_7111;structural_7117;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X20Y4_RMUX92,X20Y5_RMUX85,fabric,20,5,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,16;18,user_7101;user_7111;structural_7117;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X20Y5_RMUX85,X20Y9_RMUX55,fabric,20,9,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;19,user_7101;user_7111;user_7121;structural_7107;structural_7117;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X20Y13_InputMUX04,X20Y9_RMUX26,fabric,20,9,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,26;29,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X20Y9_RMUX26,X19Y9_RMUX03,fabric,19,9,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,35;37,user_7101;user_7111;user_7121;user_7131;structural_7107;structural_7117;structural_7127;structural_7137,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X19Y9_RMUX03,X15Y9_RMUX21,fabric,15,9,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,31;38,user_7101;user_7111;user_7121;user_7131;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y9_RMUX21,X15Y5_RMUX87,fabric,15,5,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,36;39,user_7101;user_7111;user_7121;user_7131;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y5_RMUX87,X15Y4_RMUX63,fabric,15,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,33;39,user_7101;user_7111;user_7121;user_7131;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX63,X11Y4_RMUX69,fabric,11,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,31;38,user_7101;user_7111;user_7121;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX69,X11Y5_BBMUXS07,mcu,11,5,BBMUXS7,0;1;2;3;4;5;6;7;8,3;6,user_7101;user_7111;user_7121;structural_7127,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
