src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X10Y5_BufMUX02,X10Y5_InputMUX02,mcu,10,5,InputMUX2,0,,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_BufMUX10,X10Y5_InputMUX11,mcu,10,5,InputMUX11,0,,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_BufMUX03,X10Y5_InputMUX03,mcu,10,5,InputMUX3,0,0,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_BufMUX11,X10Y5_InputMUX10,mcu,10,5,InputMUX10,0,0,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X13Y7_BufMUX08,X13Y7_InputMUX08,mcu,13,7,InputMUX8,0,,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y4_RMUX31,X11Y4_RMUX31,fabric,11,4,CFG_RMUX5,10;11;12;13;14;15;16;17;18;19,12;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X11Y4_RMUX31,X15Y4_RMUX31,fabric,15,4,CFG_RMUX5,10;11;12;13;14;15;16;17;18;19,15;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X15Y4_RMUX31,X19Y4_RMUX25,fabric,19,4,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,15;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X19Y4_RMUX25,X19Y7_RMUX07,fabric,19,7,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,11;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X19Y7_RMUX07,X19Y6_RMUX25,fabric,19,6,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X19Y6_RMUX25,X19Y10_RMUX07,fabric,19,10,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X19Y10_RMUX07,X19Y9_RMUX25,fabric,19,9,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_InputMUX10,X10Y4_RMUX74,fabric,10,4,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,23;29,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y4_RMUX74,X14Y4_RMUX09,fabric,14,4,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,35;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X14Y4_RMUX09,X14Y5_RMUX45,fabric,14,5,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,36;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X14Y5_RMUX45,X15Y5_RMUX92,fabric,15,5,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,22;28,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X15Y5_RMUX92,X15Y9_RMUX74,fabric,15,9,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,22;29,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X15Y9_RMUX74,X19Y9_RMUX09,fabric,19,9,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,35;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X13Y7_InputMUX08,X15Y7_RMUX68,fabric,15,7,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,23;28,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X15Y7_RMUX68,X19Y7_RMUX85,fabric,19,7,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X19Y7_RMUX85,X19Y9_RMUX55,fabric,19,9,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,10;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X13Y7_BufMUX16,X14Y7_RMUX68,fabric,14,7,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,20;27,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X14Y7_RMUX68,X15Y7_RMUX75,fabric,15,7,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,32;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X15Y7_RMUX75,X15Y9_RMUX15,fabric,15,9,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,30;39,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X15Y9_RMUX15,X19Y9_RMUX62,fabric,19,9,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,25;28,vendor-spi0-tx-eight-root-agreement-structural6907-composition
