src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y6_RMUX24,X13Y6_BBMUXW03,mcu,13,6,BBMUXW3,0;1;2;3;4;5;6;7;8;9,0;5,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE00,mcu,13,6,BBMUXE0,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE01,mcu,13,6,BBMUXE1,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE02,mcu,13,6,BBMUXE2,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE03,mcu,13,6,BBMUXE3,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE04,mcu,13,6,BBMUXE4,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE05,mcu,13,6,BBMUXE5,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE06,mcu,13,6,BBMUXE6,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE07,mcu,13,6,BBMUXE7,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE08,mcu,13,6,BBMUXE8,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE09,mcu,13,6,BBMUXE9,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE10,mcu,13,6,BBMUXE10,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX63,X13Y6_BBMUXE11,mcu,13,6,BBMUXE11,0;1;2;3;4;5;6;7;8,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX48,X13Y7_BBMUXW00,mcu,13,7,BBMUXW0,0;1;2;3;4;5;6;7;8;9,0;6,vendor-slave-ahb-request-payload-shared
X14Y7_RMUX48,X13Y7_BBMUXW01,mcu,13,7,BBMUXW1,0;1;2;3;4;5;6;7;8;9,0;6,vendor-slave-ahb-request-payload-shared
