signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[27],X13Y7_InputMUX03,X14Y7_RMUX47,fabric,14,7,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,52;58,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[27],X14Y7_RMUX47,X14Y7_IMUX15,fabric,14,7,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,36;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[28],X13Y7_BufMUX04,X13Y7_InputMUX04,mcu,13,7,InputMUX4,0,,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[28],X13Y7_InputMUX04,X15Y7_RMUX32,fabric,15,7,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,23;28,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[28],X15Y7_RMUX32,X15Y8_RMUX36,fabric,15,8,CFG_RMUX6,0;1;2;3;4;5;6;7;8;9,6;8,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[28],X15Y8_RMUX36,X14Y8_IMUX14,fabric,14,8,CFG_IMUX3,24;25;26;27;28;29;30;31;32;33;34;35,24;34,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[29],X13Y7_BufMUX05,X13Y7_InputMUX05,mcu,13,7,InputMUX5,0,0,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[29],X13Y7_InputMUX05,X14Y7_RMUX39,fabric,14,7,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,32;38,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[29],X14Y7_RMUX39,X14Y8_RMUX59,fabric,14,8,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,56;58,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[29],X14Y8_RMUX59,X14Y8_IMUX15,fabric,14,8,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,38;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[30],X13Y7_BufMUX06,X13Y7_InputMUX07,mcu,13,7,InputMUX7,0,,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[30],X13Y7_InputMUX07,X14Y7_RMUX61,fabric,14,7,CFG_RMUX10,10;11;12;13;14;15;16;17;18;19,12;18,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[30],X14Y7_RMUX61,X15Y7_RMUX55,fabric,15,7,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;18,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[30],X15Y7_RMUX55,X15Y8_RMUX24,fabric,15,8,CFG_RMUX4,0;1;2;3;4;5;6;7;8;9,6;8,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[30],X15Y8_RMUX24,X14Y8_IMUX12,fabric,14,8,CFG_IMUX3,0;1;2;3;4;5;6;7;8;9;10;11,0;10,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[31],X13Y7_BufMUX07,X13Y7_InputMUX06,mcu,13,7,InputMUX6,0,0,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[31],X13Y7_InputMUX06,X14Y7_RMUX55,fabric,14,7,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;18,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[31],X14Y7_RMUX55,X14Y8_RMUX47,fabric,14,8,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,56;58,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[31],X14Y8_RMUX47,X14Y8_IMUX13,fabric,14,8,CFG_IMUX3,12;13;14;15;16;17;18;19;20;21;22;23,12;23,vendor-slave-ahb-hrdata0-31

