src_wire,dst_wire,pip_type,cfg_group,clear_selectors,set_selectors,evidence
X13Y3_RMUX12,X13Y3_IMUX15,ROUTE,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,37;46,bram-fullword-x18-two-site-20260906
X13Y3_RMUX15,X14Y3_RMUX53,ROUTE,CFG_RMUX8,50;51;52;53;54;55;56;57;58;59,52;58,bram-fullword-physical-bit8-20260906
X13Y3_RMUX16,X13Y3_IMUX08,ROUTE,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,3;10,bram-fullword-x18-two-site-20260906
X13Y3_RMUX16,X13Y3_IMUX26,ROUTE,CFG_IMUX6,24;25;26;27;28;29;30;31;32;33;34;35,25;34,bram-fullword-physical-bit8-20260906
X13Y3_RMUX17,X13Y3_IMUX27,ROUTE,CFG_IMUX6,36;37;38;39;40;41;42;43;44;45;46;47,37;46,bram-fullword-physical-bit8-20260906
X13Y3_RMUX17,X13Y3_IMUX29,ROUTE,CFG_IMUX7,12;13;14;15;16;17;18;19;20;21;22;23,13;22,bram-fullword-x18-two-site-20260906
X13Y3_RMUX18,X13Y3_IMUX05,ROUTE,CFG_IMUX1,12;13;14;15;16;17;18;19;20;21;22;23,15;22,bram-fullword-physical-bit8-20260906
X13Y3_RMUX18,X13Y3_IMUX07,ROUTE,CFG_IMUX1,36;37;38;39;40;41;42;43;44;45;46;47,39;46,bram-fullword-x18-two-site-20260906
X13Y3_RMUX22,X13Y3_IMUX02,ROUTE,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,28;34,bram-fullword-physical-bit8-20260906
X13Y3_RMUX24,X13Y3_IMUX16,ROUTE,CFG_IMUX4,0;1;2;3;4;5;6;7;8;9;10;11,3;10,bram-fullword-physical-bit8-20260906
X13Y3_RMUX28,X13Y3_IMUX14,ROUTE,CFG_IMUX3,24;25;26;27;28;29;30;31;32;33;34;35,29;34,bram-fullword-physical-bit8-20260906
X13Y3_RMUX28,X13Y3_IMUX26,ROUTE,CFG_IMUX6,24;25;26;27;28;29;30;31;32;33;34;35,28;34,bram-fullword-x18-two-site-20260906
X13Y3_RMUX34,X13Y3_IMUX04,ROUTE,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,6;10,bram-fullword-physical-bit8-20260906
X13Y3_RMUX34,X13Y3_IMUX24,ROUTE,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,6;10,bram-fullword-x18-two-site-20260906
X13Y3_RMUX36,X13Y3_IMUX23,ROUTE,CFG_IMUX5,36;37;38;39;40;41;42;43;44;45;46;47,41;46,bram-fullword-x18-two-site-20260906
X13Y3_RMUX36,X13Y3_IMUX25,ROUTE,CFG_IMUX6,12;13;14;15;16;17;18;19;20;21;22;23,17;22,bram-fullword-physical-bit8-20260906
X13Y3_RMUX40,X13Y3_IMUX06,ROUTE,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,31;34,bram-fullword-physical-bit8-20260906
X13Y3_RMUX40,X13Y3_IMUX30,ROUTE,CFG_IMUX7,24;25;26;27;28;29;30;31;32;33;34;35,31;34,bram-fullword-x18-two-site-20260906
X13Y3_RMUX41,X13Y3_IMUX17,ROUTE,CFG_IMUX4,12;13;14;15;16;17;18;19;20;21;22;23,18;22,bram-fullword-x18-two-site-20260906
X13Y3_RMUX42,X13Y3_IMUX25,ROUTE,CFG_IMUX6,12;13;14;15;16;17;18;19;20;21;22;23,19;22,bram-fullword-x18-two-site-20260906
X13Y3_RMUX46,X13Y3_IMUX06,ROUTE,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,32;34,bram-fullword-x18-two-site-20260906
X13Y3_RMUX46,X13Y3_IMUX30,ROUTE,CFG_IMUX7,24;25;26;27;28;29;30;31;32;33;34;35,32;34,bram-fullword-physical-bit8-20260906
X13Y3_RMUX52,X13Y3_IMUX16,ROUTE,CFG_IMUX4,0;1;2;3;4;5;6;7;8;9;10;11,0;11,bram-fullword-x18-two-site-20260906
X13Y3_RMUX53,X13Y3_IMUX17,ROUTE,CFG_IMUX4,12;13;14;15;16;17;18;19;20;21;22;23,12;23,bram-fullword-physical-bit8-20260906
X13Y3_RMUX53,X13Y3_IMUX19,ROUTE,CFG_IMUX4,36;37;38;39;40;41;42;43;44;45;46;47,36;47,bram-fullword-x18-two-site-20260906
X13Y3_RMUX58,X13Y3_IMUX00,ROUTE,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,1;11,bram-fullword-x18-two-site-20260906
X13Y3_RMUX59,X13Y3_IMUX05,ROUTE,CFG_IMUX1,12;13;14;15;16;17;18;19;20;21;22;23,13;23,bram-fullword-x18-two-site-20260906
X13Y3_RMUX62,X13Y4_RMUX61,ROUTE,CFG_RMUX10,10;11;12;13;14;15;16;17;18;19,16;18,bram-fullword-physical-bit8-20260906
X13Y3_RMUX64,X13Y3_IMUX28,ROUTE,CFG_IMUX7,0;1;2;3;4;5;6;7;8;9;10;11,2;11,bram-fullword-physical-bit8-20260906
X13Y3_RMUX65,X13Y3_IMUX19,ROUTE,CFG_IMUX4,36;37;38;39;40;41;42;43;44;45;46;47,38;47,bram-fullword-physical-bit8-20260906
X13Y3_RMUX65,X13Y3_IMUX21,ROUTE,CFG_IMUX5,12;13;14;15;16;17;18;19;20;21;22;23,14;23,bram-fullword-x18-two-site-20260906
X13Y3_RMUX70,X13Y3_IMUX28,ROUTE,CFG_IMUX7,0;1;2;3;4;5;6;7;8;9;10;11,3;11,bram-fullword-x18-two-site-20260906
X13Y3_RMUX71,X13Y3_IMUX07,ROUTE,CFG_IMUX1,36;37;38;39;40;41;42;43;44;45;46;47,39;47,bram-fullword-physical-bit8-20260906
X13Y3_RMUX76,X13Y3_IMUX20,ROUTE,CFG_IMUX5,0;1;2;3;4;5;6;7;8;9;10;11,4;11,bram-fullword-x18-two-site-20260906
X13Y3_RMUX77,X13Y3_IMUX03,ROUTE,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,40;47,bram-fullword-x18-two-site-20260906
X13Y3_RMUX77,X13Y3_IMUX15,ROUTE,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,40;47,bram-fullword-physical-bit8-20260906
X13Y3_RMUX82,X13Y3_IMUX14,ROUTE,CFG_IMUX3,24;25;26;27;28;29;30;31;32;33;34;35,29;35,bram-fullword-x18-two-site-20260906
X13Y3_RMUX82,X13Y3_IMUX22,ROUTE,CFG_IMUX5,24;25;26;27;28;29;30;31;32;33;34;35,29;35,bram-fullword-physical-bit8-20260906
X13Y3_RMUX83,X13Y3_IMUX03,ROUTE,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,41;47,bram-fullword-physical-bit8-20260906
X13Y3_RMUX88,X13Y3_IMUX00,ROUTE,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,6;11,bram-fullword-physical-bit8-20260906
X13Y3_RMUX88,X13Y3_IMUX02,ROUTE,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,30;35,bram-fullword-x18-two-site-20260906
X13Y3_RMUX94,X13Y3_IMUX04,ROUTE,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,7;11,bram-fullword-x18-two-site-20260906
X13Y3_RMUX94,X13Y3_IMUX24,ROUTE,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,7;11,bram-fullword-physical-bit8-20260906
X13Y3_SeamMUX01,X13Y3_TileClkMUX01,GCLK0_BRAM_BRANCH,CFG_TileClkMUX,4;5;6;7,4,bram-fullword-x18-two-site-20260906
X13Y3_TMUX05,X13Y3_KMUX03,ROUTE,CFG_KMUX,27;28;29;30;31;32;33;34;35,31;32,bram-fullword-physical-bit8-20260906
X13Y3_TMUX09,X13Y3_KMUX03,ROUTE,CFG_KMUX,27;28;29;30;31;32;33;34;35,30;33,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX00,X14Y4_RMUX05,ROUTE,CFG_RMUX0,50;51;52;53;54;55;56;57;58;59,50;57,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX00,X14Y4_RMUX16,ROUTE,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,40;47,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX01,X14Y4_RMUX05,ROUTE,CFG_RMUX0,50;51;52;53;54;55;56;57;58;59,51;57,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX01,X14Y4_RMUX16,ROUTE,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,41;47,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX02,X14Y4_RMUX17,ROUTE,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,52;57,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX02,X14Y4_RMUX23,ROUTE,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,52;57,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX03,X14Y4_RMUX21,ROUTE,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,33;37,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX04,X14Y4_RMUX29,ROUTE,CFG_RMUX4,50;51;52;53;54;55;56;57;58;59,50;57,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX05,X14Y4_RMUX27,ROUTE,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,31;37,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX06,X14Y4_RMUX37,ROUTE,CFG_RMUX6,10;11;12;13;14;15;16;17;18;19,12;17,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX07,X14Y4_RMUX32,ROUTE,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,23;27,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX08,X14Y4_RMUX53,ROUTE,CFG_RMUX8,50;51;52;53;54;55;56;57;58;59,50;57,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX08,X14Y4_RMUX59,ROUTE,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,50;57,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX09,X14Y4_RMUX57,ROUTE,CFG_RMUX9,30;31;32;33;34;35;36;37;38;39,31;37,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX10,X14Y4_RMUX67,ROUTE,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,12;17,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX11,X14Y4_RMUX71,ROUTE,CFG_RMUX11,50;51;52;53;54;55;56;57;58;59,53;57,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX12,X14Y4_RMUX88,ROUTE,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,40;47,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX12,X14Y4_RMUX94,ROUTE,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,40;47,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX13,X14Y4_RMUX77,ROUTE,CFG_RMUX12,50;51;52;53;54;55;56;57;58;59,51;57,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX13,X14Y4_RMUX94,ROUTE,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,41;47,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX14,X14Y4_RMUX82,ROUTE,CFG_RMUX13,40;41;42;43;44;45;46;47;48;49,42;47,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX14,X14Y4_RMUX95,ROUTE,CFG_RMUX15,50;51;52;53;54;55;56;57;58;59,52;57,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX15,X14Y4_RMUX76,ROUTE,CFG_RMUX12,40;41;42;43;44;45;46;47;48;49,43;47,bram-fullword-x18-two-site-20260906
X13Y4_BufMUX15,X14Y4_RMUX89,ROUTE,CFG_RMUX14,50;51;52;53;54;55;56;57;58;59,53;57,bram-fullword-physical-bit8-20260906
X13Y4_BufMUX32,X13Y4_RMUX01,ROUTE,CFG_RMUX0,10;11;12;13;14;15;16;17;18;19,14;17,bram-fullword-physical-bit8-20260906
X13Y4_RMUX01,X14Y4_RMUX07,ROUTE,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;18,bram-fullword-physical-bit8-20260906
X13Y4_RMUX04,X13Y4_IMUX16,ROUTE,CFG_IMUX4,0;1;2;3;4;5;6;7;8;9;10;11,8;9,bram-fullword-physical-bit8-20260906
X13Y4_RMUX06,X13Y4_IMUX06,ROUTE,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,25;34,bram-fullword-x18-two-site-20260906
X13Y4_RMUX07,X13Y3_RMUX40,ROUTE,CFG_RMUX6,40;41;42;43;44;45;46;47;48;49,43;49,bram-fullword-physical-bit8-20260906
X13Y4_RMUX07,X13Y3_RMUX46,ROUTE,CFG_RMUX7,40;41;42;43;44;45;46;47;48;49,43;49,bram-fullword-x18-two-site-20260906
X13Y4_RMUX10,X13Y4_IMUX14,ROUTE,CFG_IMUX3,24;25;26;27;28;29;30;31;32;33;34;35,26;34,bram-fullword-physical-bit8-20260906
X13Y4_RMUX11,X13Y4_IMUX07,ROUTE,CFG_IMUX1,36;37;38;39;40;41;42;43;44;45;46;47,36;46,bram-fullword-physical-bit8-20260906
X13Y4_RMUX11,X13Y4_IMUX23,ROUTE,CFG_IMUX5,36;37;38;39;40;41;42;43;44;45;46;47,36;46,bram-fullword-x18-two-site-20260906
X13Y4_RMUX16,X13Y4_IMUX06,ROUTE,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,27;34,bram-fullword-physical-bit8-20260906
X13Y4_RMUX17,X13Y4_IMUX15,ROUTE,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,38;46,bram-fullword-x18-two-site-20260906
X13Y4_RMUX22,X13Y4_IMUX26,ROUTE,CFG_IMUX6,24;25;26;27;28;29;30;31;32;33;34;35,26;34,bram-fullword-x18-two-site-20260906
X13Y4_RMUX22,X13Y4_IMUX28,ROUTE,CFG_IMUX7,0;1;2;3;4;5;6;7;8;9;10;11,2;10,bram-fullword-physical-bit8-20260906
X13Y4_RMUX23,X13Y4_IMUX27,ROUTE,CFG_IMUX6,36;37;38;39;40;41;42;43;44;45;46;47,38;46,bram-fullword-x18-two-site-20260906
X13Y4_RMUX25,X13Y3_RMUX22,ROUTE,CFG_RMUX3,40;41;42;43;44;45;46;47;48;49,44;49,bram-fullword-physical-bit8-20260906
X13Y4_RMUX28,X13Y4_IMUX02,ROUTE,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,29;34,bram-fullword-x18-two-site-20260906
X13Y4_RMUX28,X13Y4_IMUX08,ROUTE,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,5;10,bram-fullword-physical-bit8-20260906
X13Y4_RMUX30,X13Y4_IMUX28,ROUTE,CFG_IMUX7,0;1;2;3;4;5;6;7;8;9;10;11,5;10,bram-fullword-x18-two-site-20260906
X13Y4_RMUX34,X13Y4_IMUX00,ROUTE,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,6;10,bram-fullword-x18-two-site-20260906
X13Y4_RMUX34,X13Y4_IMUX24,ROUTE,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,6;10,bram-fullword-physical-bit8-20260906
X13Y4_RMUX36,X13Y4_IMUX17,ROUTE,CFG_IMUX4,12;13;14;15;16;17;18;19;20;21;22;23,17;22,bram-fullword-physical-bit8-20260906
X13Y4_RMUX39,X13Y3_RMUX58,ROUTE,CFG_RMUX9,40;41;42;43;44;45;46;47;48;49,44;49,bram-fullword-x18-two-site-20260906
X13Y4_RMUX40,X13Y4_IMUX02,ROUTE,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,31;34,bram-fullword-physical-bit8-20260906
X13Y4_RMUX42,X13Y4_IMUX19,ROUTE,CFG_IMUX4,36;37;38;39;40;41;42;43;44;45;46;47,43;46,bram-fullword-physical-bit8-20260906
X13Y4_RMUX42,X13Y4_IMUX21,ROUTE,CFG_IMUX5,12;13;14;15;16;17;18;19;20;21;22;23,19;22,bram-fullword-x18-two-site-20260906
X13Y4_RMUX52,X13Y4_IMUX24,ROUTE,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,0;11,bram-fullword-x18-two-site-20260906
X13Y4_RMUX52,X13Y4_IMUX26,ROUTE,CFG_IMUX6,24;25;26;27;28;29;30;31;32;33;34;35,24;35,bram-fullword-physical-bit8-20260906
X13Y4_RMUX53,X13Y4_IMUX03,ROUTE,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,36;47,bram-fullword-physical-bit8-20260906
X13Y4_RMUX53,X13Y4_IMUX25,ROUTE,CFG_IMUX6,12;13;14;15;16;17;18;19;20;21;22;23,12;23,bram-fullword-x18-two-site-20260906
X13Y4_RMUX57,X13Y3_RMUX34,ROUTE,CFG_RMUX5,40;41;42;43;44;45;46;47;48;49,43;49,bram-fullword-physical-bit8-20260906
X13Y4_RMUX59,X13Y4_IMUX03,ROUTE,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,37;47,bram-fullword-x18-two-site-20260906
X13Y4_RMUX61,X15Y4_RMUX54,ROUTE,CFG_RMUX9,0;1;2;3;4;5;6;7;8;9,3;8,bram-fullword-physical-bit8-20260906
X13Y4_RMUX64,X13Y4_IMUX22,ROUTE,CFG_IMUX5,24;25;26;27;28;29;30;31;32;33;34;35,26;35,bram-fullword-physical-bit8-20260906
X13Y4_RMUX65,X13Y4_IMUX05,ROUTE,CFG_IMUX1,12;13;14;15;16;17;18;19;20;21;22;23,14;23,bram-fullword-physical-bit8-20260906
X13Y4_RMUX65,X13Y4_IMUX07,ROUTE,CFG_IMUX1,36;37;38;39;40;41;42;43;44;45;46;47,38;47,bram-fullword-x18-two-site-20260906
X13Y4_RMUX67,X13Y3_RMUX88,ROUTE,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,43;49,bram-fullword-physical-bit8-20260906
X13Y4_RMUX67,X13Y3_RMUX94,ROUTE,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,43;49,bram-fullword-x18-two-site-20260906
X13Y4_RMUX69,X13Y3_RMUX77,ROUTE,CFG_RMUX12,50;51;52;53;54;55;56;57;58;59,54;59,bram-fullword-x18-two-site-20260906
X13Y4_RMUX69,X13Y3_RMUX83,ROUTE,CFG_RMUX13,50;51;52;53;54;55;56;57;58;59,54;59,bram-fullword-physical-bit8-20260906
X13Y4_RMUX70,X13Y4_IMUX14,ROUTE,CFG_IMUX3,24;25;26;27;28;29;30;31;32;33;34;35,27;35,bram-fullword-x18-two-site-20260906
X13Y4_RMUX71,X13Y4_IMUX01,ROUTE,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,15;23,bram-fullword-x18-two-site-20260906
X13Y4_RMUX73,X13Y3_RMUX16,ROUTE,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,43;49,bram-fullword-x18-two-site-20260906
X13Y4_RMUX76,X13Y4_IMUX04,ROUTE,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,4;11,bram-fullword-x18-two-site-20260906
X13Y4_RMUX77,X13Y4_IMUX19,ROUTE,CFG_IMUX4,36;37;38;39;40;41;42;43;44;45;46;47,40;47,bram-fullword-x18-two-site-20260906
X13Y4_RMUX77,X13Y4_IMUX21,ROUTE,CFG_IMUX5,12;13;14;15;16;17;18;19;20;21;22;23,16;23,bram-fullword-physical-bit8-20260906
X13Y4_RMUX82,X13Y4_IMUX00,ROUTE,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,5;11,bram-fullword-physical-bit8-20260906
X13Y4_RMUX83,X13Y4_IMUX05,ROUTE,CFG_IMUX1,12;13;14;15;16;17;18;19;20;21;22;23,17;23,bram-fullword-x18-two-site-20260906
X13Y4_RMUX85,X13Y3_RMUX71,ROUTE,CFG_RMUX11,50;51;52;53;54;55;56;57;58;59,54;59,bram-fullword-physical-bit8-20260906
X13Y4_RMUX87,X13Y3_RMUX59,ROUTE,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,53;59,bram-fullword-x18-two-site-20260906
X13Y4_RMUX88,X13Y4_IMUX20,ROUTE,CFG_IMUX5,0;1;2;3;4;5;6;7;8;9;10;11,6;11,bram-fullword-x18-two-site-20260906
X13Y4_RMUX89,X13Y4_IMUX29,ROUTE,CFG_IMUX7,12;13;14;15;16;17;18;19;20;21;22;23,18;23,bram-fullword-physical-bit8-20260906
X13Y4_RMUX94,X13Y4_IMUX08,ROUTE,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,7;11,bram-fullword-x18-two-site-20260906
X13Y4_RMUX95,X13Y4_IMUX29,ROUTE,CFG_IMUX7,12;13;14;15;16;17;18;19;20;21;22;23,19;23,bram-fullword-x18-two-site-20260906
X13Y4_SeamMUX01,X13Y4_TileClkMUX01,GCLK0_BRAM_BRANCH,CFG_TileClkMUX,4;5;6;7,4,bram-fullword-x18-two-site-20260906
X13Y4_TMUX05,X13Y4_KMUX03,ROUTE,CFG_KMUX,27;28;29;30;31;32;33;34;35,31;32,bram-fullword-physical-bit8-20260906
X13Y4_TMUX09,X13Y4_KMUX03,ROUTE,CFG_KMUX,27;28;29;30;31;32;33;34;35,30;33,bram-fullword-x18-two-site-20260906
X14Y3_RMUX00,X13Y3_IMUX20,ROUTE,CFG_IMUX5,0;1;2;3;4;5;6;7;8;9;10;11,4;9,bram-fullword-physical-bit8-20260906
X14Y3_RMUX48,X13Y3_IMUX18,ROUTE,CFG_IMUX4,24;25;26;27;28;29;30;31;32;33;34;35,30;33,bram-fullword-x18-two-site-20260906
X14Y3_RMUX63,X13Y3_RMUX62,ROUTE,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,25;27,bram-fullword-physical-bit8-20260906
X14Y3_RMUX78,X13Y3_IMUX27,ROUTE,CFG_IMUX6,36;37;38;39;40;41;42;43;44;45;46;47,43;45,bram-fullword-x18-two-site-20260906
X14Y3_RMUX78,X13Y3_IMUX29,ROUTE,CFG_IMUX7,12;13;14;15;16;17;18;19;20;21;22;23,19;21,bram-fullword-physical-bit8-20260906
X14Y3_RMUX93,X13Y3_RMUX76,ROUTE,CFG_RMUX12,40;41;42;43;44;45;46;47;48;49,45;47,bram-fullword-x18-two-site-20260906
X14Y4_RMUX00,X13Y4_IMUX18,ROUTE,CFG_IMUX4,24;25;26;27;28;29;30;31;32;33;34;35,28;33,bram-fullword-x18-two-site-20260906
X14Y4_RMUX06,X13Y4_IMUX17,ROUTE,CFG_IMUX4,12;13;14;15;16;17;18;19;20;21;22;23,16;21,bram-fullword-x18-two-site-20260906
X14Y4_RMUX24,X13Y4_IMUX30,ROUTE,CFG_IMUX7,24;25;26;27;28;29;30;31;32;33;34;35,29;33,bram-fullword-x18-two-site-20260906
X14Y4_RMUX30,X13Y4_IMUX15,ROUTE,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,41;45,bram-fullword-physical-bit8-20260906
X14Y4_RMUX43,X13Y4_RMUX95,ROUTE,CFG_RMUX15,50;51;52;53;54;55;56;57;58;59,55;57,bram-fullword-x18-two-site-20260906
