src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX02,20,3,RMUX03,20,5,silicon_ff2
RMUX03,20,5,RMUX21,18,5,silicon_ff2
RMUX14,16,8,RMUX56,16,4,silicon_ff2
RMUX08,20,4,RMUX37,19,4,silicon_ff2
OMUX02,20,4,RMUX02,20,4,silicon_ff2
RMUX49,19,3,RMUX00,15,3,silicon_ff2
OMUX02,20,4,RMUX08,20,4,silicon_ff2
RMUX02,20,4,RMUX03,20,8,silicon_ff2
OMUX02,20,4,IMUX02,20,4,silicon_ff2
RMUX03,20,8,RMUX14,16,8,silicon_ff2
RMUX37,19,4,RMUX49,19,3,silicon_ff2
RMUX00,15,3,IMUX00,14,3,silicon_ff2
OMUX02,20,5,IMUX02,20,5,silicon_ff2
RMUX56,16,4,RMUX43,15,4,silicon_ff2
OMUX02,20,5,RMUX21,20,5,silicon_ff2
RMUX86,20,4,RMUX56,16,4,silicon_ff2
RMUX21,20,5,RMUX86,20,4,silicon_ff2
RMUX43,15,4,RMUX73,11,4,silicon_ff2
RMUX73,11,4,RMUX01,11,3,silicon_ff2
RMUX46,14,4,IMUX00,14,4,silicon_ff2
RMUX08,14,4,RMUX33,15,4,silicon_ff2
RMUX44,14,6,RMUX91,14,4,silicon_ff2
OMUX02,14,3,IMUX02,14,3,silicon_ff2
RMUX02,14,3,RMUX09,14,5,silicon_ff2
OMUX02,14,3,RMUX02,14,3,silicon_ff2
OMUX02,14,3,RMUX21,14,3,silicon_ff2
RMUX21,14,3,RMUX93,14,1,silicon_ff2
RMUX79,15,4,RMUX46,14,4,silicon_ff2
RMUX91,14,4,RMUX79,15,4,silicon_ff2
RMUX68,16,5,RMUX80,17,5,silicon_ff2
RMUX43,17,4,RMUX79,15,4,silicon_ff2
OMUX02,14,5,RMUX15,14,5,silicon_ff2
RMUX15,14,5,RMUX68,16,5,silicon_ff2
RMUX80,17,5,RMUX43,17,4,silicon_ff2
RMUX28,14,4,IMUX00,14,4,silicon_ff2
RMUX09,14,3,RMUX28,14,4,silicon_ff2
RMUX08,14,7,RMUX37,15,7,silicon_ff2
OMUX02,14,7,RMUX08,14,7,silicon_ff2
RMUX37,15,7,RMUX48,15,4,silicon_ff2
RMUX48,15,4,IMUX00,14,4,silicon_ff2
RMUX21,14,8,RMUX76,14,4,silicon_ff2
RMUX76,14,4,IMUX00,14,4,silicon_ff2
RMUX58,14,4,IMUX00,14,4,silicon_ff2
RMUX87,14,5,RMUX58,14,4,silicon_ff2
RMUX69,14,2,RMUX82,14,4,silicon_ff2
RMUX82,14,4,IMUX00,14,4,silicon_ff2
RMUX87,14,6,RMUX69,14,2,silicon_ff2
RMUX81,10,4,RMUX28,14,4,silicon_ff2
RMUX68,9,4,RMUX81,10,4,silicon_ff2
RMUX26,15,4,RMUX09,14,4,silicon_ff2
RMUX33,15,4,RMUX28,14,4,silicon_ff2
OMUX02,14,12,RMUX21,14,12,silicon_ff2
RMUX39,14,6,RMUX69,14,8,silicon_ff2
RMUX87,14,8,RMUX63,14,4,silicon_ff2
OMUX02,14,12,IMUX02,14,12,silicon_ff2
RMUX21,14,12,RMUX87,14,8,silicon_ff2
RMUX09,14,4,RMUX39,14,6,silicon_ff2
RMUX50,14,4,RMUX09,14,3,silicon_ff2
RMUX92,16,2,RMUX85,16,5,silicon_ff2
RMUX21,16,4,RMUX92,16,2,silicon_ff2
RMUX07,14,8,RMUX46,14,4,silicon_ff2
RMUX85,16,5,RMUX49,16,8,silicon_ff2
RMUX49,16,8,RMUX07,14,8,silicon_ff2
RMUX87,14,3,RMUX69,14,2,silicon_ff2
RMUX93,16,3,RMUX87,14,3,silicon_ff2
RMUX33,17,8,RMUX44,14,8,silicon_ff2
RMUX44,14,8,RMUX91,14,4,silicon_ff2
RMUX08,16,8,RMUX33,17,8,silicon_ff2
OMUX02,16,8,RMUX08,16,8,silicon_ff2
RMUX86,16,6,RMUX67,15,6,silicon_ff2
RMUX67,15,6,RMUX79,15,4,silicon_ff2
RMUX86,16,6,RMUX50,14,6,silicon_ff2
RMUX21,16,10,RMUX86,16,6,silicon_ff2
RMUX50,14,6,RMUX03,14,4,silicon_ff2
OMUX02,16,10,RMUX21,16,10,silicon_ff2
OMUX02,16,10,IMUX02,16,10,silicon_ff2
RMUX25,14,3,RMUX22,14,4,silicon_ff2
RMUX22,14,4,IMUX00,14,4,silicon_ff2
RMUX31,10,3,RMUX25,14,3,silicon_ff2
RMUX55,14,3,RMUX46,14,4,silicon_ff2
RMUX08,13,2,RMUX37,14,2,silicon_ff2
RMUX50,13,1,RMUX08,13,2,silicon_ff2
RMUX37,14,2,RMUX55,14,3,silicon_ff2
RMUX93,18,1,RMUX86,14,1,silicon_ff2
RMUX86,14,1,RMUX50,13,1,silicon_ff2
RMUX03,15,4,RMUX10,14,4,silicon_ff2
RMUX10,14,4,IMUX00,14,4,silicon_ff2
RMUX50,15,5,RMUX03,15,4,silicon_ff2
RMUX86,18,5,RMUX50,15,5,silicon_ff2
OMUX02,18,8,RMUX21,18,8,silicon_ff2
RMUX21,18,8,RMUX86,18,4,silicon_ff2
OMUX02,18,8,IMUX02,18,8,silicon_ff2
RMUX13,20,4,RMUX49,16,4,silicon_ff2
OMUX02,20,4,RMUX13,20,4,silicon_ff2
RMUX49,16,4,RMUX22,14,4,silicon_ff2
OMUX02,20,5,RMUX08,20,5,silicon_ff2
RMUX08,15,5,RMUX27,17,5,silicon_ff2
RMUX08,20,5,RMUX26,19,5,silicon_ff2
RMUX15,17,4,RMUX63,18,4,silicon_ff2
RMUX63,18,4,RMUX58,14,4,silicon_ff2
RMUX27,17,5,RMUX15,17,4,silicon_ff2
RMUX26,19,5,RMUX08,15,5,silicon_ff2
OMUX02,20,6,RMUX21,20,6,silicon_ff2
RMUX14,20,8,RMUX50,20,6,silicon_ff2
RMUX49,17,8,RMUX07,14,8,silicon_ff2
RMUX13,20,8,RMUX49,17,8,silicon_ff2
OMUX02,20,6,IMUX02,20,6,silicon_ff2
RMUX92,20,5,RMUX75,20,7,silicon_ff2
RMUX02,20,6,RMUX13,20,8,silicon_ff2
RMUX50,20,6,RMUX03,20,5,silicon_ff2
OMUX02,20,6,RMUX02,20,6,silicon_ff2
RMUX75,20,7,RMUX14,20,8,silicon_ff2
RMUX21,20,6,RMUX92,20,5,silicon_ff2
RMUX73,14,8,RMUX22,14,5,silicon_ff2
RMUX57,14,6,RMUX39,14,5,silicon_ff2
RMUX02,14,3,RMUX19,14,7,silicon_ff2
RMUX15,14,5,RMUX69,18,5,silicon_ff2
RMUX93,18,6,RMUX86,15,6,silicon_ff2
RMUX69,18,5,RMUX93,18,6,silicon_ff2
RMUX86,15,6,RMUX57,14,6,silicon_ff2
RMUX19,14,7,RMUX73,14,8,silicon_ff2
RMUX22,14,5,IMUX00,14,5,silicon_ff2
RMUX02,14,4,RMUX19,14,7,silicon_ff2
RMUX75,14,4,RMUX10,14,5,silicon_ff2
RMUX27,15,6,RMUX20,15,4,silicon_ff2
RMUX08,14,6,RMUX27,15,6,silicon_ff2
RMUX10,14,5,IMUX00,14,5,silicon_ff2
RMUX20,15,4,RMUX75,14,4,silicon_ff2
OMUX02,14,6,RMUX08,14,6,silicon_ff2
OMUX02,14,7,RMUX19,14,7,silicon_ff2
RMUX69,14,4,RMUX76,14,5,silicon_ff2
RMUX76,14,5,IMUX00,14,5,silicon_ff2
RMUX21,14,9,RMUX76,14,5,silicon_ff2
RMUX69,14,2,RMUX82,14,5,silicon_ff2
RMUX82,14,5,IMUX00,14,5,silicon_ff2
OMUX02,14,11,RMUX08,14,11,silicon_ff2
RMUX33,15,11,RMUX44,14,11,silicon_ff2
RMUX80,14,7,RMUX27,14,6,silicon_ff2
RMUX27,14,6,RMUX10,14,5,silicon_ff2
RMUX08,14,11,RMUX33,15,11,silicon_ff2
RMUX44,14,11,RMUX80,14,7,silicon_ff2
RMUX75,14,3,RMUX10,14,5,silicon_ff2
RMUX81,10,4,RMUX44,14,4,silicon_ff2
RMUX44,14,4,RMUX75,14,3,silicon_ff2
RMUX28,14,5,IMUX00,14,5,silicon_ff2
RMUX09,14,3,RMUX28,14,5,silicon_ff2
RMUX20,16,7,RMUX80,14,7,silicon_ff2
RMUX75,16,3,RMUX20,16,7,silicon_ff2
RMUX92,16,2,RMUX75,16,3,silicon_ff2
RMUX27,18,6,RMUX20,18,3,silicon_ff2
RMUX20,18,3,RMUX75,16,3,silicon_ff2
RMUX08,16,6,RMUX27,18,6,silicon_ff2
RMUX44,14,8,RMUX80,14,7,silicon_ff2
RMUX67,14,6,RMUX79,14,2,silicon_ff2
RMUX31,13,2,RMUX25,14,2,silicon_ff2
RMUX25,14,2,RMUX22,14,5,silicon_ff2
RMUX79,14,2,RMUX31,13,2,silicon_ff2
RMUX86,16,7,RMUX50,14,7,silicon_ff2
RMUX27,17,11,RMUX14,17,7,silicon_ff2
RMUX14,17,7,RMUX56,17,3,silicon_ff2
RMUX08,16,11,RMUX27,17,11,silicon_ff2
OMUX02,16,11,RMUX21,16,11,silicon_ff2
RMUX32,14,3,RMUX27,14,6,silicon_ff2
RMUX50,14,7,RMUX03,14,4,silicon_ff2
