"edge","template","column","routes","source"
"RMUX27@2,3->RMUX15@2,4","RMUX27(+0,-1)->RMUX15","2","2","afexe_bitgen_20260919"
"RMUX32@2,3->RMUX33@2,1","RMUX32(+0,+2)->RMUX33","2","2","afexe_bitgen_20260919"
"RMUX38@2,3->RMUX50@1,3","RMUX38(+1,+0)->RMUX50","1","2","afexe_bitgen_20260919"
"RMUX44@2,3->RMUX85@2,3","RMUX44(+0,+0)->RMUX85","2","2","afexe_bitgen_20260919"
"RMUX45@2,3->RMUX86@1,3","RMUX45(+1,+0)->RMUX86","1","2","afexe_bitgen_20260919"
"RMUX55@2,3->RMUX24@2,1","RMUX55(+0,+2)->RMUX24","2","2","afexe_bitgen_20260919"
"RMUX57@2,3->RMUX45@2,3","RMUX57(+0,+0)->RMUX45","2","2","afexe_bitgen_20260919"
"RMUX57@2,3->RMUX34@2,4","RMUX57(+0,-1)->RMUX34","2","2","afexe_bitgen_20260919"
"RMUX57@2,3->RMUX38@2,4","RMUX57(+0,-1)->RMUX38","2","2","afexe_bitgen_20260919"
"RMUX67@2,3->RMUX72@2,3","RMUX67(+0,+0)->RMUX72","2","2","afexe_bitgen_20260919"
"RMUX67@2,3->RMUX94@2,4","RMUX67(+0,-1)->RMUX94","2","2","afexe_bitgen_20260919"
"RMUX68@2,3->RMUX80@1,3","RMUX68(+1,+0)->RMUX80","1","2","afexe_bitgen_20260919"
"RMUX68@2,3->RMUX85@1,3","RMUX68(+1,+0)->RMUX85","1","2","afexe_bitgen_20260919"
"RMUX91@2,3->RMUX72@1,3","RMUX91(+1,+0)->RMUX72","1","2","afexe_bitgen_20260919"
"RMUX91@2,3->RMUX89@1,3","RMUX91(+1,+0)->RMUX89","1","2","afexe_bitgen_20260919"
"RMUX7@2,4->RMUX25@2,4","RMUX7(+0,+0)->RMUX25","2","2","afexe_bitgen_20260919"
"RMUX9@2,4->RMUX38@2,4","RMUX9(+0,+0)->RMUX38","2","2","afexe_bitgen_20260919"
"RMUX15@2,4->RMUX63@1,4","RMUX15(+1,+0)->RMUX63","1","2","afexe_bitgen_20260919"
"RMUX25@2,4->RMUX0@2,1","RMUX25(+0,+3)->RMUX0","2","2","afexe_bitgen_20260919"
"RMUX25@2,4->RMUX0@2,4","RMUX25(+0,+0)->RMUX0","2","2","afexe_bitgen_20260919"
"RMUX32@2,4->RMUX33@2,2","RMUX32(+0,+2)->RMUX33","2","2","afexe_bitgen_20260919"
"RMUX38@2,4->RMUX50@1,4","RMUX38(+1,+0)->RMUX50","1","2","afexe_bitgen_20260919"
"RMUX44@2,4->RMUX85@2,4","RMUX44(+0,+0)->RMUX85","2","2","afexe_bitgen_20260919"
"RMUX45@2,4->RMUX86@1,4","RMUX45(+1,+0)->RMUX86","1","2","afexe_bitgen_20260919"
"RMUX51@2,4->RMUX15@2,4","RMUX51(+0,+0)->RMUX15","2","2","afexe_bitgen_20260919"
"RMUX57@2,4->RMUX45@2,4","RMUX57(+0,+0)->RMUX45","2","2","afexe_bitgen_20260919"
"RMUX67@2,4->RMUX72@2,4","RMUX67(+0,+0)->RMUX72","2","2","afexe_bitgen_20260919"
"RMUX68@2,4->RMUX80@1,4","RMUX68(+1,+0)->RMUX80","1","2","afexe_bitgen_20260919"
"RMUX68@2,4->RMUX85@1,4","RMUX68(+1,+0)->RMUX85","1","2","afexe_bitgen_20260919"
"RMUX73@2,4->RMUX1@2,4","RMUX73(+0,+0)->RMUX1","2","2","afexe_bitgen_20260919"
"RMUX75@2,4->RMUX10@2,3","RMUX75(+0,+1)->RMUX10","2","2","afexe_bitgen_20260919"
"RMUX91@2,4->RMUX72@1,4","RMUX91(+1,+0)->RMUX72","1","2","afexe_bitgen_20260919"
"RMUX91@2,4->RMUX89@1,4","RMUX91(+1,+0)->RMUX89","1","2","afexe_bitgen_20260919"
"RMUX3@3,1->RMUX15@3,1","RMUX3(+0,+0)->RMUX15","3","2","afexe_bitgen_20260919"
"RMUX3@3,1->RMUX21@3,1","RMUX3(+0,+0)->RMUX21","3","2","afexe_bitgen_20260919"
"RMUX8@3,1->RMUX26@2,1","RMUX8(+1,+0)->RMUX26","2","2","afexe_bitgen_20260919"
"RMUX8@3,1->RMUX27@2,1","RMUX8(+1,+0)->RMUX27","2","2","afexe_bitgen_20260919"
"RMUX8@3,1->RMUX37@2,1","RMUX8(+1,+0)->RMUX37","2","2","afexe_bitgen_20260919"
