src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res,cfg,source,tier
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX32,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX34,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX36,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX38,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX40,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX42,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX44,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX46,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX48,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX50,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX52,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX54,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX56,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX58,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX60,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX62,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX1,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX3,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX5,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX7,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX9,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX11,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX13,,enum_xbar,fanin
LogicTILE,1,1,RMUX17,LogicTILE,1,1,IMUX15,,enum_xbar,fanin
