src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X15Y12_RMUX87,X15Y8_RMUX68,fabric,15,8,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,26;29,vendor-l48-x9-silicon-control
X15Y8_RMUX68,X16Y8_RMUX80,fabric,16,8,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,22;28,vendor-l48-x9-silicon-control
X16Y8_RMUX80,X16Y4_RMUX43,fabric,16,4,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X16Y4_RMUX43,X14Y4_RMUX72,fabric,14,4,CFG_RMUX12,0;1;2;3;4;5;6;7;8;9,6;7,vendor-l48-x9-silicon-control
X14Y4_RMUX72,X13Y4_IMUX06,fabric,13,4,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,31;33,vendor-l48-x9-silicon-control
X13Y12_BufMUX16,X14Y12_RMUX57,fabric,14,12,CFG_RMUX9,30;31;32;33;34;35;36;37;38;39,30;37,vendor-l48-x9-silicon-control
X14Y12_RMUX57,X14Y8_RMUX38,fabric,14,8,CFG_RMUX6,20;21;22;23;24;25;26;27;28;29,26;29,vendor-l48-x9-silicon-control
X14Y8_RMUX38,X15Y8_RMUX50,fabric,15,8,CFG_RMUX8,20;21;22;23;24;25;26;27;28;29,22;28,vendor-l48-x9-silicon-control
X15Y8_RMUX50,X15Y4_RMUX13,fabric,15,4,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X15Y4_RMUX13,X14Y4_RMUX54,fabric,14,4,CFG_RMUX9,0;1;2;3;4;5;6;7;8;9,5;7,vendor-l48-x9-silicon-control
X14Y4_RMUX54,X13Y4_IMUX05,fabric,13,4,CFG_IMUX1,12;13;14;15;16;17;18;19;20;21;22;23,18;21,vendor-l48-x9-silicon-control
X13Y12_BufMUX17,X14Y12_RMUX67,fabric,14,12,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,12;17,vendor-l48-x9-silicon-control
X14Y12_RMUX67,X14Y8_RMUX73,fabric,14,8,CFG_RMUX12,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X14Y8_RMUX73,X14Y4_RMUX00,fabric,14,4,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9,6;9,vendor-l48-x9-silicon-control
X14Y4_RMUX00,X13Y4_IMUX04,fabric,13,4,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,4;9,vendor-l48-x9-silicon-control
X13Y12_BufMUX18,X14Y12_RMUX73,fabric,14,12,CFG_RMUX12,10;11;12;13;14;15;16;17;18;19,10;17,vendor-l48-x9-silicon-control
X14Y12_RMUX73,X14Y8_RMUX07,fabric,14,8,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X14Y8_RMUX07,X14Y4_RMUX30,fabric,14,4,CFG_RMUX5,0;1;2;3;4;5;6;7;8;9,6;9,vendor-l48-x9-silicon-control
X14Y4_RMUX30,X13Y4_IMUX03,fabric,13,4,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,41;45,vendor-l48-x9-silicon-control
X13Y12_BufMUX19,X14Y12_RMUX80,fabric,14,12,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,22;27,vendor-l48-x9-silicon-control
X14Y12_RMUX80,X14Y8_RMUX37,fabric,14,8,CFG_RMUX6,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X14Y8_RMUX37,X14Y4_RMUX48,fabric,14,4,CFG_RMUX8,0;1;2;3;4;5;6;7;8;9,6;9,vendor-l48-x9-silicon-control
X14Y4_RMUX48,X13Y4_IMUX02,fabric,13,4,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,30;33,vendor-l48-x9-silicon-control
X13Y11_BufMUX00,X13Y11_InputMUX01,mcu,13,11,InputMUX1,0,,vendor-l48-x9-silicon-control
X13Y11_InputMUX01,X15Y11_RMUX03,fabric,15,11,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,33;38,vendor-l48-x9-silicon-control
X15Y11_RMUX03,X14Y11_RMUX14,fabric,14,11,CFG_RMUX2,20;21;22;23;24;25;26;27;28;29,25;27,vendor-l48-x9-silicon-control
X14Y11_RMUX14,X14Y7_RMUX67,fabric,14,7,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,16;19,vendor-l48-x9-silicon-control
X14Y7_RMUX67,X14Y4_RMUX79,fabric,14,4,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,15;19,vendor-l48-x9-silicon-control
X14Y4_RMUX79,X13Y4_RMUX47,fabric,13,4,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,55;57,vendor-l48-x9-silicon-control
X13Y4_RMUX47,X13Y4_IMUX01,fabric,13,4,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,20;22,vendor-l48-x9-silicon-control
X13Y11_BufMUX01,X13Y11_InputMUX00,mcu,13,11,InputMUX0,0,0,vendor-l48-x9-silicon-control
X13Y11_InputMUX00,X14Y11_RMUX07,fabric,14,11,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,12;18,vendor-l48-x9-silicon-control
X14Y11_RMUX07,X14Y7_RMUX47,fabric,14,7,CFG_RMUX7,50;51;52;53;54;55;56;57;58;59,56;59,vendor-l48-x9-silicon-control
X14Y7_RMUX47,X14Y7_IMUX15,fabric,14,7,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,36;47,vendor-l48-x9-silicon-control
X14Y7_OMUX11,X14Y7_RMUX07,fabric,14,7,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,13;17,vendor-l48-x9-silicon-control
X14Y7_RMUX07,X14Y4_RMUX24,fabric,14,4,CFG_RMUX4,0;1;2;3;4;5;6;7;8;9,5;9,vendor-l48-x9-silicon-control
X14Y4_RMUX24,X13Y4_IMUX00,fabric,13,4,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,5;9,vendor-l48-x9-silicon-control
