src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X13Y4_RMUX33,X12Y4_RMUX45,fabric,12,4,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,35;37,user_6981;user_6991;user_7001;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X12Y4_RMUX45,X16Y4_RMUX92,fabric,16,4,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,25;28,user_6981;user_6991;user_7001;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X16Y4_RMUX92,X16Y5_RMUX81,fabric,16,5,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,36;38,user_6991;structural_6987,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X16Y5_RMUX81,X20Y5_RMUX39,fabric,20,5,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,35;38,user_6991;structural_6987,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X20Y5_RMUX39,X20Y9_RMUX62,fabric,20,9,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,22;29,user_6991;structural_6987,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y5_BufMUX01,X9Y5_InputMUX00,mcu,9,5,InputMUX0,0,0,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y5_InputMUX00,X9Y4_RMUX01,fabric,9,4,CFG_RMUX0,10;11;12;13;14;15;16;17;18;19,13;19,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y4_RMUX01,X11Y4_RMUX01,fabric,11,4,CFG_RMUX0,10;11;12;13;14;15;16;17;18;19,13;18,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X11Y4_RMUX01,X15Y4_RMUX01,fabric,15,4,CFG_RMUX0,10;11;12;13;14;15;16;17;18;19,15;18,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X15Y4_RMUX01,X19Y4_RMUX07,fabric,19,4,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,15;18,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
