src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y7_OMUX35,X14Y7_RMUX62,fabric,14,7,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,23;27,retained-independent-ff-request-controls
X14Y7_OMUX38,X14Y7_RMUX85,fabric,14,7,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,10;17,retained-independent-ff-request-controls
X14Y7_OMUX44,X14Y7_RMUX75,fabric,14,7,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,32;37,retained-independent-ff-request-controls
X14Y7_RMUX32,X14Y10_RMUX33,fabric,14,10,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,31;39,retained-independent-ff-request-controls
X14Y7_RMUX62,X14Y10_RMUX56,fabric,14,10,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,21;29,retained-independent-ff-request-controls
X14Y7_RMUX75,X14Y11_RMUX21,fabric,14,11,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,32;39,retained-independent-ff-request-controls
X14Y7_RMUX85,X14Y10_RMUX49,fabric,14,10,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,11;19,retained-independent-ff-request-controls
X14Y8_RMUX32,X14Y10_RMUX43,fabric,14,10,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,10;19,retained-independent-ff-request-controls
X14Y8_RMUX75,X14Y10_RMUX20,fabric,14,10,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,20;29,retained-independent-ff-request-controls
X15Y10_RMUX56,X14Y10_RMUX26,fabric,14,10,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,25;27,retained-independent-ff-request-controls
X16Y10_OMUX42,X17Y10_RMUX93,fabric,17,10,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,32;37,retained-independent-ff-request-controls
X16Y7_OMUX36,X17Y7_RMUX86,fabric,17,7,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,20;27,retained-independent-ff-request-controls
X16Y7_RMUX56,X14Y7_RMUX32,fabric,14,7,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,26;27,retained-independent-ff-request-controls
X17Y10_RMUX08,X18Y10_RMUX26,fabric,18,10,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,22;28,retained-independent-ff-request-controls
X17Y10_RMUX93,X14Y10_RMUX93,fabric,14,10,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,30;38,retained-independent-ff-request-controls
X17Y7_RMUX86,X16Y7_RMUX56,fabric,16,7,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,25;27,retained-independent-ff-request-controls
X17Y8_OMUX02,X17Y8_RMUX02,fabric,17,8,CFG_RMUX0,20;21;22;23;24;25;26;27;28;29,20;27,retained-independent-ff-request-controls
X17Y8_OMUX08,X17Y8_RMUX20,fabric,17,8,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,22;27,retained-independent-ff-request-controls
X17Y8_OMUX36,X18Y8_RMUX86,fabric,18,8,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,20;27,retained-independent-ff-request-controls
X17Y8_RMUX02,X17Y10_RMUX08,fabric,17,10,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,20;29,retained-independent-ff-request-controls
X17Y8_RMUX20,X14Y8_RMUX75,fabric,14,8,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,30;38,retained-independent-ff-request-controls
X17Y8_RMUX56,X14Y8_RMUX32,fabric,14,8,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,20;28,retained-independent-ff-request-controls
X18Y10_RMUX26,X14Y10_RMUX03,fabric,14,10,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,31;38,retained-independent-ff-request-controls
X18Y8_RMUX86,X17Y8_RMUX56,fabric,17,8,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,25;27,retained-independent-ff-request-controls
