src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX32,14,9,OMUX31,14,9,silicon_harvest
RMUX44,14,9,RMUX80,14,5,silicon_harvest
RMUX07,14,7,RMUX25,14,6,silicon_harvest
RMUX32,14,11,RMUX37,14,12,silicon_harvest
RMUX74,12,3,RMUX09,14,3,silicon_harvest
RMUX16,14,9,IMUX16,14,9,silicon_harvest
RMUX81,9,4,RMUX44,12,4,silicon_harvest
RMUX32,14,9,RMUX32,14,11,silicon_harvest
RMUX07,14,9,RMUX25,14,8,silicon_harvest
OMUX31,14,9,IMUX44,14,9,silicon_harvest
RMUX44,12,4,RMUX74,12,3,silicon_harvest
RMUX21,14,5,RMUX86,14,1,silicon_harvest
RMUX20,7,4,RMUX74,6,4,silicon_harvest
RMUX26,16,5,RMUX19,14,5,silicon_harvest
RMUX14,14,9,RMUX50,14,5,silicon_harvest
RMUX03,10,4,RMUX20,7,4,silicon_harvest
RMUX19,14,5,RMUX88,14,9,silicon_harvest
OMUX17,14,9,RMUX32,14,9,silicon_harvest
OMUX26,14,9,OMUX25,14,9,silicon_harvest
RMUX20,10,4,RMUX81,9,4,silicon_harvest
RMUX50,16,8,RMUX03,16,4,silicon_harvest
OMUX31,16,11,IMUX44,16,11,silicon_harvest
RMUX15,14,11,RMUX58,16,11,silicon_harvest
OMUX05,16,11,RMUX08,16,11,silicon_harvest
RMUX56,14,3,RMUX33,10,3,silicon_harvest
RMUX69,14,4,RMUX92,14,5,silicon_harvest
OMUX29,16,11,RMUX56,16,11,silicon_harvest
RMUX50,16,11,RMUX19,16,10,silicon_harvest
RMUX68,5,4,RMUX81,6,4,silicon_harvest
RMUX26,15,4,RMUX09,14,4,silicon_harvest
OMUX20,16,11,RMUX27,16,11,silicon_harvest
RMUX44,16,11,RMUX75,16,10,silicon_harvest
OMUX35,16,11,RMUX57,16,11,silicon_harvest
RMUX27,16,11,RMUX14,16,7,silicon_harvest
RMUX57,16,11,RMUX38,16,7,silicon_harvest
OMUX13,16,11,IMUX20,16,11,silicon_harvest
RMUX38,16,7,RMUX57,17,7,silicon_harvest
RMUX81,15,11,RMUX28,16,11,silicon_harvest
OMUX14,16,11,OMUX13,16,11,silicon_harvest
RMUX22,16,11,IMUX16,16,11,silicon_harvest
RMUX39,14,7,RMUX68,14,11,silicon_harvest
RMUX09,14,4,RMUX39,14,7,silicon_harvest
RMUX68,14,11,RMUX81,15,11,silicon_harvest
RMUX63,6,4,RMUX68,5,4,silicon_harvest
OMUX17,16,11,RMUX26,16,11,silicon_harvest
OMUX11,16,11,RMUX14,16,11,silicon_harvest
RMUX07,16,11,RMUX25,16,10,silicon_harvest
RMUX21,14,8,RMUX87,14,5,silicon_harvest
RMUX25,16,10,RMUX22,16,11,silicon_harvest
RMUX08,16,11,RMUX33,17,11,silicon_harvest
RMUX33,10,3,RMUX39,6,3,silicon_harvest
RMUX45,10,3,RMUX92,14,3,silicon_harvest
RMUX09,15,11,RMUX44,15,10,silicon_harvest
RMUX44,15,10,RMUX80,15,8,silicon_harvest
RMUX26,16,11,RMUX09,15,11,silicon_harvest
RMUX56,16,11,RMUX27,14,11,silicon_harvest
RMUX14,16,7,RMUX56,16,4,silicon_harvest
RMUX20,12,4,RMUX81,11,4,silicon_harvest
RMUX92,14,3,RMUX75,14,7,silicon_harvest
OMUX25,16,11,IMUX36,16,11,silicon_harvest
RMUX87,14,5,RMUX69,14,4,silicon_harvest
RMUX57,17,7,RMUX45,17,3,silicon_harvest
RMUX33,11,3,RMUX45,10,3,silicon_harvest
RMUX86,18,3,RMUX56,14,3,silicon_harvest
RMUX45,17,3,RMUX86,18,3,silicon_harvest
OMUX20,16,11,OMUX19,16,11,silicon_harvest
RMUX14,16,11,RMUX50,16,8,silicon_harvest
OMUX23,16,11,RMUX44,16,11,silicon_harvest
RMUX27,14,11,RMUX21,14,8,silicon_harvest
OMUX29,16,11,RMUX50,16,11,silicon_harvest
OMUX26,16,11,OMUX25,16,11,silicon_harvest
RMUX58,16,11,IMUX00,16,11,silicon_harvest
OMUX08,16,11,OMUX07,16,11,silicon_harvest
RMUX56,14,3,RMUX33,11,3,silicon_harvest
OMUX01,16,11,IMUX04,16,11,silicon_harvest
RMUX80,15,8,RMUX26,15,4,silicon_harvest
RMUX10,16,11,IMUX32,16,11,silicon_harvest
RMUX39,6,3,RMUX63,6,4,silicon_harvest
RMUX03,16,4,RMUX20,12,4,silicon_harvest
OMUX32,16,11,OMUX31,16,11,silicon_harvest
