src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y12_RMUX28,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,30;34,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX13,X14Y11_RMUX19,fabric,14,11,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;17,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX19,X14Y12_RMUX88,fabric,14,12,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
X14Y12_RMUX88,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,31;35,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX16,X14Y11_RMUX55,fabric,14,11,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,10;17,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX17,X14Y11_RMUX69,fabric,14,11,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,32;37,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX69,X14Y12_RMUX82,fabric,14,12,CFG_RMUX13,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
X14Y12_RMUX82,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,30;35,vendor-derived-haddr-matrix-20260906
X13Y11_BufMUX18,X14Y11_RMUX75,fabric,14,11,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,30;37,vendor-derived-haddr-matrix-20260906
X14Y11_RMUX75,X14Y12_RMUX04,fabric,14,12,CFG_RMUX0,40;41;42;43;44;45;46;47;48;49,46;48,vendor-derived-haddr-matrix-20260906
X14Y12_RMUX04,X14Y12_IMUX02,fabric,14,12,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,26;34,vendor-derived-haddr-matrix-20260906
