x,y,mux,sel_index,byte,mask
2,5,BBMUXS0,8,64419,64
2,5,BBMUXS1,0,64535,1
2,5,BBMUXS1,1,64651,1
2,5,BBMUXS1,2,64535,2
2,5,BBMUXS1,3,64651,2
2,5,BBMUXS1,4,64535,4
2,5,BBMUXS1,5,64651,4
2,5,BBMUXS1,6,64535,8
2,5,BBMUXS1,7,64651,8
2,5,BBMUXS1,8,64651,64
2,5,BBMUXS10,0,65460,32
2,5,BBMUXS10,1,65576,32
2,5,BBMUXS10,2,65460,16
2,5,BBMUXS10,3,65576,16
2,5,BBMUXS10,4,65460,8
2,5,BBMUXS10,5,65576,8
2,5,BBMUXS10,6,65460,4
2,5,BBMUXS10,7,65576,4
2,5,BBMUXS10,8,65577,128
2,5,BBMUXS11,0,65692,32
2,5,BBMUXS11,1,65808,32
2,5,BBMUXS11,2,65692,16
2,5,BBMUXS11,3,65808,16
2,5,BBMUXS11,4,65692,8
2,5,BBMUXS11,5,65808,8
2,5,BBMUXS11,6,65692,4
2,5,BBMUXS11,7,65808,4
2,5,BBMUXS11,8,65809,128
2,5,BBMUXS2,0,64767,1
2,5,BBMUXS2,1,64883,1
2,5,BBMUXS2,2,64767,2
2,5,BBMUXS2,3,64883,2
2,5,BBMUXS2,4,64767,4
2,5,BBMUXS2,5,64883,4
2,5,BBMUXS2,6,64767,8
2,5,BBMUXS2,7,64883,8
2,5,BBMUXS2,8,64883,64
2,5,BBMUXS3,0,65231,1
2,5,BBMUXS3,1,65347,1
2,5,BBMUXS3,2,65231,2
2,5,BBMUXS3,3,65347,2
2,5,BBMUXS3,4,65231,4
2,5,BBMUXS3,5,65347,4
2,5,BBMUXS3,6,65231,8
2,5,BBMUXS3,7,65347,8
2,5,BBMUXS3,8,65347,64
2,5,BBMUXS4,0,65463,1
2,5,BBMUXS4,1,65579,1
2,5,BBMUXS4,2,65463,2
2,5,BBMUXS4,3,65579,2
2,5,BBMUXS4,4,65463,4
2,5,BBMUXS4,5,65579,4
2,5,BBMUXS4,6,65463,8
2,5,BBMUXS4,7,65579,8
2,5,BBMUXS4,8,65579,64
2,5,BBMUXS5,0,65695,1
2,5,BBMUXS5,1,65811,1
2,5,BBMUXS5,2,65695,2
2,5,BBMUXS5,3,65811,2
2,5,BBMUXS5,4,65695,4
2,5,BBMUXS5,5,65811,4
2,5,BBMUXS5,6,65695,8
2,5,BBMUXS5,7,65811,8
2,5,BBMUXS5,8,65811,64
2,5,BBMUXS6,0,64300,32
2,5,BBMUXS6,1,64416,32
2,5,BBMUXS6,2,64300,16
2,5,BBMUXS6,3,64416,16
2,5,BBMUXS6,4,64300,8
2,5,BBMUXS6,5,64416,8
2,5,BBMUXS6,6,64300,4
2,5,BBMUXS6,7,64416,4
2,5,BBMUXS6,8,64417,128
2,5,BBMUXS7,0,64532,32
2,5,BBMUXS7,1,64648,32
2,5,BBMUXS7,2,64532,16
2,5,BBMUXS7,3,64648,16
2,5,BBMUXS7,4,64532,8
2,5,BBMUXS7,5,64648,8
2,5,BBMUXS7,6,64532,4
2,5,BBMUXS7,7,64648,4
2,5,BBMUXS7,8,64649,128
2,5,BBMUXS8,0,64764,32
2,5,BBMUXS8,1,64880,32
2,5,BBMUXS8,2,64764,16
2,5,BBMUXS8,3,64880,16
2,5,BBMUXS8,4,64764,8
2,5,BBMUXS8,5,64880,8
2,5,BBMUXS8,6,64764,4
2,5,BBMUXS8,7,64880,4
2,5,BBMUXS8,8,64881,128
2,5,BBMUXS9,0,65228,32
2,5,BBMUXS9,1,65344,32
2,5,BBMUXS9,2,65228,16
2,5,BBMUXS9,3,65344,16
2,5,BBMUXS9,4,65228,8
2,5,BBMUXS9,5,65344,8
2,5,BBMUXS9,6,65228,4
2,5,BBMUXS9,7,65344,4
2,5,BBMUXS9,8,65345,128
2,5,InputMUX0,0,64300,64
2,5,InputMUX1,0,64532,64
2,5,InputMUX10,0,65459,1
2,5,InputMUX11,0,65691,1
2,5,InputMUX2,0,64764,64
2,5,InputMUX3,0,65228,64
2,5,InputMUX4,0,65460,64
2,5,InputMUX5,0,65692,64
2,5,InputMUX6,0,64299,1
2,5,InputMUX7,0,64531,1
2,5,InputMUX8,0,64763,1
2,5,InputMUX9,0,65227,1
2,5,SeamMUX0,0,64302,2
2,5,SeamMUX0,1,64302,4
2,5,SeamMUX0,2,64302,8
2,5,SeamMUX0,3,64302,16
2,5,SeamMUX0,4,64302,32
2,5,SeamMUX0,5,64302,64
2,5,SeamMUX1,0,64534,2
2,5,SeamMUX1,1,64534,4
2,5,SeamMUX1,2,64534,8
2,5,SeamMUX1,3,64534,16
2,5,SeamMUX1,4,64534,32
2,5,SeamMUX1,5,64534,64
2,5,SeamMUX10,0,65461,16
2,5,SeamMUX10,1,65461,8
2,5,SeamMUX10,2,65461,4
2,5,SeamMUX10,3,65461,2
2,5,SeamMUX10,4,65461,1
2,5,SeamMUX10,5,65462,128
2,5,SeamMUX11,0,65693,16
2,5,SeamMUX11,1,65693,8
2,5,SeamMUX11,2,65693,4
2,5,SeamMUX11,3,65693,2
2,5,SeamMUX11,4,65693,1
2,5,SeamMUX11,5,65694,128
2,5,SeamMUX2,0,64766,2
2,5,SeamMUX2,1,64766,4
2,5,SeamMUX2,2,64766,8
2,5,SeamMUX2,3,64766,16
2,5,SeamMUX2,4,64766,32
2,5,SeamMUX2,5,64766,64
2,5,SeamMUX3,0,65230,2
2,5,SeamMUX3,1,65230,4
2,5,SeamMUX3,2,65230,8
2,5,SeamMUX3,3,65230,16
2,5,SeamMUX3,4,65230,32
2,5,SeamMUX3,5,65230,64
2,5,SeamMUX4,0,65462,2
2,5,SeamMUX4,1,65462,4
2,5,SeamMUX4,2,65462,8
2,5,SeamMUX4,3,65462,16
2,5,SeamMUX4,4,65462,32
2,5,SeamMUX4,5,65462,64
2,5,SeamMUX5,0,65694,2
2,5,SeamMUX5,1,65694,4
2,5,SeamMUX5,2,65694,8
2,5,SeamMUX5,3,65694,16
2,5,SeamMUX5,4,65694,32
2,5,SeamMUX5,5,65694,64
2,5,SeamMUX6,0,64301,16
2,5,SeamMUX6,1,64301,8
2,5,SeamMUX6,2,64301,4
2,5,SeamMUX6,3,64301,2
2,5,SeamMUX6,4,64301,1
2,5,SeamMUX6,5,64302,128
2,5,SeamMUX7,0,64533,16
2,5,SeamMUX7,1,64533,8
2,5,SeamMUX7,2,64533,4
2,5,SeamMUX7,3,64533,2
2,5,SeamMUX7,4,64533,1
2,5,SeamMUX7,5,64534,128
2,5,SeamMUX8,0,64765,16
2,5,SeamMUX8,1,64765,8
2,5,SeamMUX8,2,64765,4
2,5,SeamMUX8,3,64765,2
2,5,SeamMUX8,4,64765,1
2,5,SeamMUX8,5,64766,128
2,5,SeamMUX9,0,65229,16
2,5,SeamMUX9,1,65229,8
2,5,SeamMUX9,2,65229,4
2,5,SeamMUX9,3,65229,2
2,5,SeamMUX9,4,65229,1
2,5,SeamMUX9,5,65230,128
3,5,BBMUXS0,0,64299,16
3,5,BBMUXS0,1,64415,16
3,5,BBMUXS0,2,64299,32
3,5,BBMUXS0,3,64415,32
3,5,BBMUXS0,4,64299,64
3,5,BBMUXS0,5,64415,64
3,5,BBMUXS0,6,64299,128
3,5,BBMUXS0,7,64415,128
3,5,BBMUXS0,8,64414,4
3,5,BBMUXS1,0,64531,16
3,5,BBMUXS1,1,64647,16
3,5,BBMUXS1,2,64531,32
3,5,BBMUXS1,3,64647,32
3,5,BBMUXS1,4,64531,64
3,5,BBMUXS1,5,64647,64
3,5,BBMUXS1,6,64531,128
3,5,BBMUXS1,7,64647,128
3,5,BBMUXS1,8,64646,4
3,5,BBMUXS10,0,65455,2
3,5,BBMUXS10,1,65571,2
