signal,step,src_wire,dst_wire,evidence
slave_ahb_haddr[28],1,X14Y12_RMUX21,X14Y8_RMUX93,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[28],2,X14Y8_RMUX93,X13Y8_BBMUXE09,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[28],3,X13Y8_BBMUXE09,X0Y5_SinkMUXPseudo73,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[29],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[29],1,X14Y12_RMUX21,X14Y8_RMUX93,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[29],2,X14Y8_RMUX93,X13Y8_BBMUXE10,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[29],3,X13Y8_BBMUXE10,X0Y5_SinkMUXPseudo74,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[30],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[30],1,X14Y12_RMUX21,X14Y8_RMUX93,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[30],2,X14Y8_RMUX93,X13Y8_BBMUXE11,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[30],3,X13Y8_BBMUXE11,X0Y5_SinkMUXPseudo75,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[31],0,X14Y12_OMUX00,X15Y12_RMUX14,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[31],1,X15Y12_RMUX14,X15Y8_RMUX56,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[31],2,X15Y8_RMUX56,X14Y8_RMUX42,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[31],3,X14Y8_RMUX42,X13Y8_BBMUXW00,vendor-slave-ahb-request-payload-shared
slave_ahb_haddr[31],4,X13Y8_BBMUXW00,X0Y5_SinkMUXPseudo76,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[0],0,X14Y12_OMUX00,X15Y12_RMUX14,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[0],1,X15Y12_RMUX14,X15Y8_RMUX56,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[0],2,X15Y8_RMUX56,X14Y8_RMUX42,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[0],3,X14Y8_RMUX42,X13Y8_BBMUXW01,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[0],4,X13Y8_BBMUXW01,X0Y5_SinkMUXPseudo77,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[1],0,X14Y12_OMUX00,X15Y12_RMUX14,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[1],1,X15Y12_RMUX14,X15Y8_RMUX56,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[1],2,X15Y8_RMUX56,X14Y8_RMUX42,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[1],3,X14Y8_RMUX42,X13Y8_BBMUXW02,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[1],4,X13Y8_BBMUXW02,X0Y5_SinkMUXPseudo78,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[2],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[2],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[2],3,X14Y7_RMUX63,X13Y7_BBMUXE00,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[2],4,X13Y7_BBMUXE00,X0Y5_SinkMUXPseudo79,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[3],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[3],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[3],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[3],3,X14Y7_RMUX63,X13Y7_BBMUXE01,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[3],4,X13Y7_BBMUXE01,X0Y5_SinkMUXPseudo80,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[4],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[4],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[4],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[4],3,X14Y7_RMUX63,X13Y7_BBMUXE02,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[4],4,X13Y7_BBMUXE02,X0Y5_SinkMUXPseudo81,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[5],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[5],1,X14Y12_RMUX21,X14Y11_RMUX87,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[5],2,X14Y11_RMUX87,X14Y7_RMUX63,vendor-slave-ahb-request-payload-shared
slave_ahb_hwdata[5],3,X14Y7_RMUX63,X13Y7_BBMUXE03,vendor-slave-ahb-request-payload-shared
