x,y,mux,sel,byte,mask
13,4,CFG_IMUX4,16,67731,32
13,4,CFG_IMUX4,17,67847,32
13,4,CFG_IMUX4,18,67731,16
13,4,CFG_IMUX4,19,67847,16
13,4,CFG_IMUX4,20,67731,8
13,4,CFG_IMUX4,21,67731,4
13,4,CFG_IMUX4,22,67847,4
13,4,CFG_IMUX4,23,67847,8
13,4,CFG_IMUX4,24,67964,16
13,4,CFG_IMUX4,25,68080,16
13,4,CFG_IMUX4,26,67964,32
13,4,CFG_IMUX4,27,68080,32
13,4,CFG_IMUX4,28,67964,64
13,4,CFG_IMUX4,29,68080,64
13,4,CFG_IMUX4,30,67964,128
13,4,CFG_IMUX4,31,68080,128
13,4,CFG_IMUX4,32,67963,1
13,4,CFG_IMUX4,33,67963,2
13,4,CFG_IMUX4,34,68079,2
13,4,CFG_IMUX4,35,68079,1
13,4,CFG_IMUX4,36,67963,128
13,4,CFG_IMUX4,37,68079,128
13,4,CFG_IMUX4,38,67963,64
13,4,CFG_IMUX4,39,68079,64
13,4,CFG_IMUX4,40,67963,32
13,4,CFG_IMUX4,41,68079,32
13,4,CFG_IMUX4,42,67963,16
13,4,CFG_IMUX4,43,68079,16
13,4,CFG_IMUX4,44,67963,8
13,4,CFG_IMUX4,45,67963,4
13,4,CFG_IMUX4,46,68079,4
13,4,CFG_IMUX4,47,68079,8
13,4,CFG_IMUX5,0,68196,16
13,4,CFG_IMUX5,1,68312,16
13,4,CFG_IMUX5,2,68196,32
13,4,CFG_IMUX5,3,68312,32
13,4,CFG_IMUX5,4,68196,64
13,4,CFG_IMUX5,5,68312,64
13,4,CFG_IMUX5,6,68196,128
13,4,CFG_IMUX5,7,68312,128
13,4,CFG_IMUX5,8,68195,1
13,4,CFG_IMUX5,9,68195,2
13,4,CFG_IMUX5,10,68311,2
13,4,CFG_IMUX5,11,68311,1
13,4,CFG_IMUX5,12,68195,128
13,4,CFG_IMUX5,13,68311,128
13,4,CFG_IMUX5,14,68195,64
13,4,CFG_IMUX5,15,68311,64
13,4,CFG_IMUX5,16,68195,32
13,4,CFG_IMUX5,17,68311,32
13,4,CFG_IMUX5,18,68195,16
13,4,CFG_IMUX5,19,68311,16
13,4,CFG_IMUX5,20,68195,8
13,4,CFG_IMUX5,21,68195,4
