signal,step,src_wire,dst_wire,evidence
ext_dma_DMACSREQ[3],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],6,X2Y4_RMUX69,X2Y5_BBMUXS03,vendor-dma-request-all-shared
ext_dma_DMACSREQ[3],7,X2Y5_BBMUXS03,X0Y5_SinkMUXPseudo210,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],6,X2Y4_RMUX69,X2Y5_BBMUXS04,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[0],7,X2Y5_BBMUXS04,X0Y5_SinkMUXPseudo211,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],6,X2Y4_RMUX69,X2Y5_BBMUXS05,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[1],7,X2Y5_BBMUXS05,X0Y5_SinkMUXPseudo212,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],6,X2Y4_RMUX69,X2Y5_BBMUXS06,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[2],7,X2Y5_BBMUXS06,X0Y5_SinkMUXPseudo213,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],6,X2Y4_RMUX69,X2Y5_BBMUXS07,vendor-dma-request-all-shared
ext_dma_DMACLSREQ[3],7,X2Y5_BBMUXS07,X0Y5_SinkMUXPseudo214,vendor-dma-request-all-shared
