edge
"RMUX81@14,9->RMUX39@16,9"
"RMUX85@14,9->RMUX55@14,10"
"RMUX08@15,10->RMUX27@14,10"
"RMUX09@15,10->RMUX38@15,10"
"RMUX09@15,10->RMUX38@15,9"
"RMUX27@15,10->RMUX15@15,11"
"RMUX32@15,10->RMUX33@15,8"
"RMUX38@15,10->RMUX50@14,10"
"RMUX51@15,10->RMUX15@15,10"
"RMUX57@15,10->RMUX45@15,10"
"RMUX57@15,10->RMUX38@15,11"
"RMUX67@15,10->RMUX72@15,10"
"RMUX92@15,10->RMUX81@15,10"
"RMUX08@15,11->RMUX27@14,11"
"RMUX27@15,11->RMUX15@15,12"
"RMUX38@15,11->RMUX50@14,11"
"RMUX51@15,11->RMUX15@15,11"
"RMUX57@15,11->RMUX38@15,12"
"RMUX38@15,12->RMUX50@14,12"
"RMUX51@15,12->RMUX15@15,12"
"RMUX57@15,12->RMUX45@15,12"
"RMUX68@15,12->RMUX80@14,12"
"RMUX09@15,1->RMUX38@15,1"
"RMUX33@15,1->RMUX45@15,1"
"RMUX51@15,1->RMUX15@15,1"
"RMUX91@15,1->RMUX89@14,1"
"RMUX03@15,2->RMUX15@15,2"
"RMUX03@15,2->RMUX21@15,2"
"RMUX08@15,2->RMUX26@14,2"
"RMUX08@15,2->RMUX27@14,2"
"RMUX08@15,2->RMUX37@14,2"
"RMUX09@15,2->RMUX38@15,2"
"RMUX15@15,2->RMUX63@14,2"
"RMUX33@15,2->RMUX45@15,2"
"RMUX38@15,2->RMUX50@14,2"
"RMUX45@15,2->RMUX86@14,2"
"RMUX51@15,2->RMUX15@15,2"
"RMUX68@15,2->RMUX80@14,2"
"RMUX68@15,2->RMUX85@14,2"
"RMUX80@15,2->RMUX26@15,4"
"RMUX86@15,2->RMUX50@16,2"
"RMUX03@15,3->RMUX21@15,3"
"RMUX08@15,3->RMUX27@14,3"
"RMUX08@15,3->RMUX33@14,3"
"RMUX08@15,3->RMUX37@14,3"
"RMUX09@15,3->RMUX38@15,2"
"RMUX09@15,3->RMUX38@15,3"
"RMUX27@15,3->RMUX15@15,4"
"RMUX32@15,3->RMUX33@15,1"
"RMUX33@15,3->RMUX45@15,3"
"RMUX45@15,3->RMUX86@14,3"
"RMUX49@15,3->RMUX07@16,3"
"RMUX57@15,3->RMUX45@15,3"
"RMUX57@15,3->RMUX38@15,4"
"RMUX68@15,3->RMUX80@14,3"
"RMUX80@15,3->RMUX26@15,5"
"RMUX92@15,3->RMUX81@15,3"
"RMUX03@15,4->RMUX15@15,4"
"RMUX08@15,4->RMUX26@14,4"
"RMUX08@15,4->RMUX27@14,4"
"RMUX08@15,4->RMUX33@14,4"
"RMUX08@15,4->RMUX37@14,4"
"RMUX09@15,4->RMUX38@15,3"
"RMUX09@15,4->RMUX38@15,4"
"RMUX25@15,4->RMUX01@15,4"
"RMUX27@15,4->RMUX15@15,5"
"RMUX32@15,4->RMUX33@15,2"
"RMUX33@15,4->RMUX45@15,4"
"RMUX38@15,4->RMUX50@14,4"
"RMUX45@15,4->RMUX86@14,4"
"RMUX49@15,4->RMUX07@16,4"
"RMUX51@15,4->RMUX15@15,4"
"RMUX55@15,4->RMUX31@15,3"
"RMUX57@15,4->RMUX45@15,4"
